----------------------------------------------------------------------------------------------------
|  9 11  | 16  5  |  2  8  |  6 17  |  3 13  | 10 18  | 14 12  |  1 15  |  7  4  |
|  4  7  | 13  2  |  5 10  |  8 16  | 15 11  |  1  9  | 18  3  | 14  6  | 17 12  |
| 17  5  |  4 12  | 13  9  | 11 10  |  6 16  |  2 14  |  8  1  |  3  7  | 15 18  |
| 10  3  |  9  6  | 16 14  |  5  1  | 17 12  | 13 11  |  7 15  | 18  4  |  2  8  |
|  2  1  | 11 15  | 18 12  | 14  4  |  5  7  |  6 17  | 16 10  |  9  8  |  3 13  |
| 13 15  | 10 17  | 11  3  | 12  7  | 14 18  |  8 16  |  9  4  |  2  5  |  1  6  |
|  8 12  |  3  7  |  4  6  |  9 18  | 10  1  |  5 15  | 11  2  | 13 17  | 14 16  |
|  6 18  |  1 14  |  7 15  |  3 13  |  8  2  | 12  4  |  5 17  | 11 16  | 10  9  |
| 14 16  | 18  8  | 17  1  | 15  2  |  9  4  |  7  3  | 13  6  | 10 12  | 11  5  |
----------------------------------------------------------------------------------------------------
| 18  6  |  2  1  | 12 17  | 13 11  |  4 14  | 16 10  |  3  5  |  7  9  |  8 15  |
| 16  2  | 17 10  |  6 11  |  7  9  | 13  3  | 15  5  | 12  8  |  4  1  | 18 14  |
|  3 10  | 12 16  |  1  7  |  4  8  |  2  6  | 14 13  | 17  9  | 15 18  |  5 11  |
| 15 13  | 14  3  |  9  2  | 16  6  | 11  5  | 18 12  |  1  7  |  8 10  |  4 17  |
|  7  4  | 15 13  | 14 16  |  2  5  | 18 10  | 17  8  |  6 11  | 12  3  |  9  1  |
|  1 14  |  6  4  | 15 13  | 17  3  | 16  8  |  9  2  | 10 18  |  5 11  | 12  7  |
|  5 17  |  8  9  |  3  4  | 18 12  |  7 15  | 11  1  |  2 13  | 16 14  |  6 10  |
| 12  9  |  5 11  |  8 18  | 10 15  |  1 17  |  3  7  |  4 14  |  6 13  | 16  2  |
| 11  8  |  7 18  | 10  5  |  1 14  | 12  9  |  4  6  | 15 16  | 17  2  | 13  3  |
----------------------------------------------------------------------------------------------------
