----------------------------------------------------------------------------------------------------
|  9 17  |  5  3  | 14  8  | 12  1  | 18  2  | 15 10  |  7 13  |  6 11  |  4 16  |
|  3 12  |  8  6  |  5 17  | 13 15  |  9  4  | 11  1  | 10 14  |  7 16  |  2 18  |
|  5  2  |  9 10  |  3  7  | 14 16  |  6 12  |  8 13  | 11 15  |  4 18  |  1 17  |
| 13 14  | 15  7  | 11 18  |  8 17  |  3 16  |  2  4  |  9  6  | 10  1  | 12  5  |
|  7  4  | 18 17  |  9 10  |  6  3  | 14  5  | 16 12  |  1  8  | 13  2  | 11 15  |
|  6 18  |  2 16  | 12  1  |  5  7  | 10 11  |  3  9  |  4 17  |  8 15  | 13 14  |
|  8 10  | 14 12  |  2 13  | 11  4  |  1 15  |  6 18  | 16  3  |  5 17  |  7  9  |
| 11 16  |  1 13  | 15  4  |  9 10  | 17  8  |  5  7  |  2 18  | 12 14  |  6  3  |
|  1 15  | 11  4  | 16  6  |  2 18  |  7 13  | 17 14  | 12  5  |  3  9  | 10  8  |
----------------------------------------------------------------------------------------------------
| 10 13  | 12 15  |  6  2  |  3 14  | 16 17  |  1  5  |  8  9  | 11  7  | 18  4  |
| 14  7  |  6 11  | 13  9  | 17  2  |  8  1  | 10 15  |  5  4  | 18  3  | 16 12  |
| 12 11  | 16  2  |  7 15  | 10  6  |  4 18  |  9  8  | 14  1  | 17  5  |  3 13  |
| 17  3  | 10  1  | 18 16  | 15 13  | 12  9  |  4  2  |  6 11  | 14  8  |  5  7  |
| 15  9  | 17 14  |  1  5  |  4 11  |  2 10  | 18  3  | 13  7  | 16 12  |  8  6  |
|  4  5  | 13  8  | 10 14  |  7  9  | 11  3  | 12 16  | 18  2  | 15  6  | 17  1  |
| 16  8  |  7  9  | 17 12  | 18  5  | 13  6  | 14 11  |  3 10  |  1  4  | 15  2  |
|  2  6  |  4 18  |  8  3  |  1 12  |  5  7  | 13 17  | 15 16  |  9 10  | 14 11  |
| 18  1  |  3  5  |  4 11  | 16  8  | 15 14  |  7  6  | 17 12  |  2 13  |  9 10  |
----------------------------------------------------------------------------------------------------
