----------------------------------------------------------------------------------------------------
|  1 11  |  4  3  | 17  7  | 10 13  | 12  9  | 16  6  |  5  8  | 14 18  |  2 15  |
| 10  6  | 18  9  | 14 11  |  3  4  | 13 16  | 12  1  |  2 15  |  8  5  |  7 17  |
|  7  2  |  1 10  |  4 16  | 14 17  |  8 11  | 13 15  |  3  6  | 12  9  |  5 18  |
| 13 12  |  7 17  |  2  1  | 11  6  | 14 15  |  4  5  | 10 18  |  3 16  |  9  8  |
|  9 18  | 12  8  | 10  6  |  1  5  |  2  3  | 11 14  | 16  7  | 17 15  | 13  4  |
|  4 17  | 15 11  | 18 12  |  7  8  |  6  5  |  3  2  | 14  9  | 10 13  | 16  1  |
|  3  8  | 16  5  |  9 15  | 18 12  |  7  4  | 10 17  | 13  1  |  6  2  | 14 11  |
| 14 16  |  2 13  |  8  5  | 15  9  | 17 10  |  7 18  | 12  4  | 11  1  |  6  3  |
| 15  5  |  6 14  | 13  3  |  2 16  | 18  1  |  8  9  | 17 11  |  4  7  | 10 12  |
----------------------------------------------------------------------------------------------------
|  6  7  |  9  2  | 12  4  |  8 15  |  5 14  | 17  3  | 11 16  | 18 10  |  1 13  |
| 11  4  | 10  7  | 15  2  | 13 14  | 16  8  |  5 12  | 18 17  |  1  6  |  3  9  |
|  5 10  |  3  6  |  7 18  | 17  1  | 15 12  | 14 11  |  9 13  | 16  8  |  4  2  |
| 16 13  | 17  1  |  3  8  | 12 18  | 10  2  | 15  4  |  6  5  |  9 14  | 11  7  |
|  8 15  | 13 16  |  1  9  |  6  2  |  4 17  | 18 10  |  7  3  |  5 11  | 12 14  |
| 18 14  |  5 12  |  6 13  | 16 11  |  1  7  |  9  8  |  4  2  | 15  3  | 17 10  |
|  2  3  | 14 15  | 16 17  |  9 10  | 11 18  |  6 13  |  1 12  |  7  4  |  8  5  |
| 17  1  |  8  4  | 11 10  |  5  3  |  9  6  |  2  7  | 15 14  | 13 12  | 18 16  |
| 12  9  | 11 18  |  5 14  |  4  7  |  3 13  |  1 16  |  8 10  |  2 17  | 15  6  |
----------------------------------------------------------------------------------------------------
