----------------------------------------------------------------------------------------------------
| 15 18  |  7  3  |  9  2  | 16 11  |  1 14  |  8 17  |  4 10  | 12  5  | 13  6  |
|  6  3  | 18 13  | 12 17  |  9 15  |  5  8  |  4 14  |  1 11  | 10  7  | 16  2  |
|  9  5  | 16 11  | 18 10  |  7  1  |  2  3  | 12  6  | 14 17  |  4 13  |  8 15  |
| 13 11  | 12 10  | 16 15  |  2  5  |  9  6  |  1  3  |  8 18  | 14 17  |  4  7  |
|  1  4  | 14  6  | 13 11  | 18 17  | 12 16  |  9  2  |  3  7  |  8 15  | 10  5  |
| 10 17  |  4  8  |  3  6  | 13 14  | 18 15  |  5  7  |  9  2  | 11 16  | 12  1  |
| 12  7  | 15  9  |  1 14  |  3  8  | 17  4  | 10 16  |  5 13  |  2  6  | 11 18  |
| 14 16  |  1  2  |  8  5  | 12  4  |  7 10  | 11 13  |  6 15  |  3 18  | 17  9  |
|  2  8  | 17  5  |  7  4  |  6 10  | 13 11  | 18 15  | 16 12  |  1  9  |  3 14  |
----------------------------------------------------------------------------------------------------
| 17 14  |  3  7  |  4  8  |  5 12  | 10  1  |  2  9  | 15 16  |  6 11  | 18 13  |
|  7  2  | 13 17  |  5 16  |  4  3  | 14 18  | 15 10  | 11  1  |  9  8  |  6 12  |
| 11 10  |  8  1  | 15 12  | 17 16  |  4  5  | 13 18  |  2  6  |  7 14  |  9  3  |
| 16 12  |  6 18  |  2  9  | 15  7  | 11 17  | 14  4  | 10  5  | 13  3  |  1  8  |
| 18 13  |  9 14  |  6  7  |  1  2  | 16 12  |  3 11  | 17  8  | 15 10  |  5  4  |
|  3  9  |  2 12  | 14 13  | 10  6  |  8  7  | 17  5  | 18  4  | 16  1  | 15 11  |
|  4 15  | 11 16  | 17 18  |  8  9  |  3  2  |  6  1  | 13 14  |  5 12  |  7 10  |
|  8  6  |  5  4  | 10  1  | 11 13  | 15  9  | 16 12  |  7  3  | 18  2  | 14 17  |
|  5  1  | 10 15  | 11  3  | 14 18  |  6 13  |  7  8  | 12  9  | 17  4  |  2 16  |
----------------------------------------------------------------------------------------------------
