----------------------------------------------------------------------------------------------------
| 12  8  | 10 14  | 11 15  |  7  2  | 17 18  |  6 16  | 13  3  |  9  4  |  5  1  |
| 16  9  |  5 17  |  2  1  | 13 11  | 15 10  |  4  8  | 18  6  |  3 12  |  7 14  |
|  6 11  |  9  8  | 17 10  | 15 14  |  7  4  |  2  1  |  5 16  | 13 18  |  3 12  |
| 13  7  | 15 12  | 14 18  | 10  6  |  2  5  | 17  3  |  4  1  | 16 11  |  8  9  |
| 14  1  | 16  3  |  5  8  | 18 17  | 11 13  | 10 15  |  9 12  |  6  7  |  4  2  |
|  4 15  | 13  1  |  9 16  |  8 12  | 14  3  |  7 11  |  2 10  |  5 17  |  6 18  |
| 17  3  |  2  4  | 13 12  | 16  9  |  8  6  |  5 18  | 11  7  |  1 14  | 15 10  |
|  2  5  |  6 18  |  4  7  |  1  3  | 16 12  | 13  9  | 14  8  | 10 15  | 11 17  |
| 18 10  | 11  7  |  6  3  |  5  4  |  9  1  | 14 12  | 17 15  |  8  2  | 13 16  |
----------------------------------------------------------------------------------------------------
| 11 12  |  7  2  | 16  6  | 14 15  |  1  9  | 18  5  | 10 13  |  4  3  | 17  8  |
|  8 13  |  1 15  |  3 11  |  2 16  | 18  7  | 12 10  |  6  5  | 17  9  | 14  4  |
|  7  6  | 17 11  | 10 13  |  9 18  |  5  2  |  3 14  |  8  4  | 12  1  | 16 15  |
| 10 16  |  8  6  |  7  4  | 17 13  | 12 11  |  1  2  | 15 14  | 18  5  |  9  3  |
|  3 18  |  4 13  |  8  5  | 11  1  | 10 15  | 16 17  | 12  9  | 14  6  |  2  7  |
|  1  2  | 12 10  | 15 14  |  3  5  |  6  8  |  9  4  | 16 17  |  7 13  | 18 11  |
|  5 14  | 18 16  |  1  9  | 12  7  |  4 17  | 15  6  |  3  2  | 11  8  | 10 13  |
|  9 17  | 14  5  | 12  2  |  4  8  |  3 16  | 11 13  |  7 18  | 15 10  |  1  6  |
| 15  4  |  3  9  | 18 17  |  6 10  | 13 14  |  8  7  |  1 11  |  2 16  | 12  5  |
----------------------------------------------------------------------------------------------------
