----------------------------------------------------------------------------------------------------
| 16 10  |  4 13  |  9  6  |  7 14  | 11  3  | 15 17  |  8  2  |  1  5  | 18 12  |
|  2  4  | 15 16  |  1 11  | 10 18  |  7  6  |  9 13  | 17  5  | 12  3  |  8 14  |
| 13 14  | 11  9  |  4 18  | 15  1  | 10 16  | 12  2  |  6  3  | 17  8  |  5  7  |
| 15 11  | 12  2  | 13 14  | 16  4  | 18 17  |  8  5  |  9  7  |  6 10  |  3  1  |
| 18  3  |  1  6  | 16 15  | 11  9  |  8  5  |  7 10  | 13 12  |  2 14  | 17  4  |
|  5  8  |  3 17  |  2 12  | 13  6  |  4  9  | 16 14  | 10  1  |  7 18  | 15 11  |
|  7  1  | 18  5  | 10 17  |  2  8  | 12 13  |  6  3  | 14  4  | 15 11  | 16  9  |
| 17 12  | 10 14  |  7  8  |  5  3  |  2 15  | 11  1  | 18 16  |  9  4  |  6 13  |
|  9  6  |  8  7  |  5  3  | 12 17  | 14  1  | 18  4  | 11 15  | 13 16  |  2 10  |
----------------------------------------------------------------------------------------------------
| 14 18  |  5 15  | 17  7  |  3  2  |  1  8  | 13 11  | 12  6  | 10  9  |  4 16  |
|  8  5  | 16  3  | 14 13  | 17  7  | 15 18  |  4  9  |  1 10  | 11  2  | 12  6  |
| 11  2  | 17  4  | 15  5  |  8 10  | 13  7  |  1 12  |  3 14  | 16  6  |  9 18  |
|  4  9  | 14 10  |  8  2  |  1 15  |  5 11  | 17  6  | 16 13  | 18 12  |  7  3  |
|  6  7  | 13  8  |  3 16  |  4  5  | 17 12  | 10 18  |  2  9  | 14  1  | 11 15  |
| 10 17  |  7 18  |  6  9  | 14 12  |  3  4  |  5 16  | 15 11  |  8 13  |  1  2  |
|  3 15  |  2 12  | 11  1  |  6 16  |  9 10  | 14  8  |  5 18  |  4  7  | 13 17  |
| 12 13  |  6  1  | 18  4  |  9 11  | 16 14  |  2 15  |  7  8  |  3 17  | 10  5  |
|  1 16  |  9 11  | 12 10  | 18 13  |  6  2  |  3  7  |  4 17  |  5 15  | 14  8  |
----------------------------------------------------------------------------------------------------
