----------------------------------------------------------------------------------------------------
|  6 14  |  9  3  |  2  5  | 18 15  |  7 13  | 11 17  | 16 12  |  1  4  |  8 10  |
|  7  1  | 18  4  | 17 15  |  5  9  |  6 14  | 10  8  |  2 11  | 16  3  | 13 12  |
|  4 17  | 14  2  |  7 13  | 10  3  | 11  8  |  6  9  | 15  1  | 18 12  | 16  5  |
|  5 18  |  1 12  | 11 14  |  6 16  | 15 17  | 13  2  |  3  4  | 10  8  |  7  9  |
| 13 10  |  6 17  |  9  1  | 11  7  |  5  3  | 12 16  |  8 14  |  2 15  |  4 18  |
|  3 15  |  5 13  |  6 18  | 17  8  | 12 16  | 14  4  | 10  7  | 11  9  |  1  2  |
| 11  9  |  7 10  | 16  8  | 12 14  |  2  4  | 15  1  | 18  6  | 13  5  |  3 17  |
| 16  2  | 15  8  | 12  3  | 13  4  | 10  1  |  7 18  |  9  5  |  6 17  | 11 14  |
| 12  8  | 11 16  |  4 10  |  2  1  | 18  9  |  5  3  | 17 13  | 14  7  | 15  6  |
----------------------------------------------------------------------------------------------------
| 17  3  | 12  6  |  5  4  |  9  2  | 13 18  |  8 15  | 14 16  |  7  1  | 10 11  |
|  8  4  | 10  5  | 18  2  | 14  6  |  3 11  |  1 12  | 13 15  | 17 16  |  9  7  |
|  9 12  | 16  1  | 10  6  |  4 18  | 17 15  |  3 13  |  7  2  |  5 11  | 14  8  |
| 18 13  |  3 11  |  1 12  |  7  5  | 14  2  | 16 10  |  4  9  |  8  6  | 17 15  |
| 10 11  | 17  9  |  8 16  |  1 12  |  4  6  |  2  7  |  5  3  | 15 14  | 18 13  |
|  2  6  | 13 14  |  3 11  | 15 10  |  8  7  |  4  5  |  1 17  |  9 18  | 12 16  |
| 14 16  |  8  7  | 15 17  |  3 11  |  9  5  | 18  6  | 12 10  |  4 13  |  2  1  |
| 15  5  |  4 18  | 13  7  | 16 17  |  1 10  |  9 14  | 11  8  | 12  2  |  6  3  |
|  1  7  |  2 15  | 14  9  |  8 13  | 16 12  | 17 11  |  6 18  |  3 10  |  5  4  |
----------------------------------------------------------------------------------------------------
