----------------------------------------------------------------------------------------------------
|  8 12  |  1  6  |  9 18  | 11 17  | 15  4  | 14  2  | 13  3  | 16  7  | 10  5  |
| 10 13  | 12 15  |  1 17  |  6 18  |  2  9  | 11  5  | 16  7  |  3 14  |  4  8  |
| 15 11  | 13  7  |  6  8  |  9 12  | 18 17  |  3  1  | 14  4  |  5 10  | 16  2  |
| 17 18  |  8  3  | 12 13  |  1 14  | 10 11  |  4 16  |  5  2  | 15  6  |  9  7  |
| 14  4  | 17  2  |  3  7  | 13 10  | 16  5  | 15  9  | 11  1  | 18  8  |  6 12  |
|  5  2  | 10  4  | 15 11  |  8 16  | 14  7  | 13 18  |  9  6  |  1 12  |  3 17  |
| 16  7  | 18  5  |  2  4  |  3 15  | 12  1  | 17  6  |  8 10  | 11  9  | 14 13  |
|  1  3  | 16  9  |  5 14  |  7  2  |  8  6  | 12 10  | 15 17  |  4 13  | 11 18  |
|  9  6  | 11 14  | 16 10  |  4  5  |  3 13  |  8  7  | 12 18  | 17  2  |  1 15  |
----------------------------------------------------------------------------------------------------
|  3 10  | 15 16  | 17 12  |  5  1  | 13  2  |  7 11  | 18 14  |  9  4  |  8  6  |
|  2 15  |  7 18  | 10  1  | 16  6  |  5  3  |  9  4  | 17 13  |  8 11  | 12 14  |
|  4 14  |  2 13  |  7  9  | 17  3  |  6 16  |  1  8  | 10  5  | 12 18  | 15 11  |
| 18 16  |  3  1  | 13 15  |  2  4  | 17  8  | 10 12  |  6 11  | 14  5  |  7  9  |
| 11  8  | 14 12  | 18 16  | 15  7  |  4 10  |  6 13  |  3  9  |  2 17  |  5  1  |
| 13  9  |  4 17  | 14  6  | 18 11  |  7 12  |  5  3  |  1  8  | 10 15  |  2 16  |
| 12  5  |  9 10  |  4  2  | 14  8  | 11 18  | 16 17  |  7 15  |  6  1  | 13  3  |
|  6  1  |  5  8  | 11  3  | 10 13  |  9 14  | 18 15  |  2 12  |  7 16  | 17  4  |
|  7 17  |  6 11  |  8  5  | 12  9  |  1 15  |  2 14  |  4 16  | 13  3  | 18 10  |
----------------------------------------------------------------------------------------------------
