----------------------------------------------------------------------------------------------------
| 16 13  |  9  6  |  4 17  |  2 11  |  7  8  | 10 14  | 15  5  | 18  3  |  1 12  |
| 11  9  |  1  3  | 15 13  |  8  6  |  2 18  | 12  7  | 14 17  |  4 16  |  5 10  |
| 10  2  | 11 13  |  9  8  |  3  4  | 12  1  | 17 18  |  7  6  |  5 15  | 16 14  |
|  3  4  | 16 15  |  1  5  |  9  7  | 14 17  |  8 13  | 10 11  |  6 12  | 18  2  |
| 12  7  | 18  8  |  6  3  | 16 13  |  4  9  | 11  5  |  1  2  | 10 14  | 15 17  |
|  1 17  |  7 10  | 16 11  | 15 14  |  5  6  |  2  4  | 18 12  |  9 13  |  3  8  |
| 15  5  |  4 12  | 10 14  | 17 18  | 11 13  |  6  1  | 16  3  |  2  8  |  9  7  |
| 14  8  | 17  2  | 12 18  |  1  5  | 16 10  | 15  3  |  4  9  | 11  7  |  6 13  |
| 18  6  | 14  5  |  2  7  | 10 12  |  3 15  | 16  9  |  8 13  | 17  1  |  4 11  |
----------------------------------------------------------------------------------------------------
|  9 12  | 10 16  |  7  1  |  4  2  | 15 14  |  5  8  |  6 18  | 13 11  | 17  3  |
|  5 16  |  2  1  |  3 10  | 11 15  |  8 12  | 14 17  |  9  4  |  7 18  | 13  6  |
| 13 11  |  6 17  |  5  2  | 14  1  |  9 16  | 18 10  |  3  8  | 12  4  |  7 15  |
| 17  3  |  8 14  | 13 15  |  7  9  | 18  2  |  4 11  |  5 10  | 16  6  | 12  1  |
|  4 10  |  3  9  | 17 16  | 13  8  |  1 11  |  7  6  | 12 14  | 15  5  |  2 18  |
|  8 15  | 12  4  | 11  6  | 18 10  | 13  3  |  9 16  | 17  7  |  1  2  | 14  5  |
|  6 18  | 15  7  |  8  9  | 12 16  | 10  5  |  3  2  | 13  1  | 14 17  | 11  4  |
|  7 14  | 13 11  | 18 12  |  5 17  |  6  4  |  1 15  |  2 16  |  3 10  |  8  9  |
|  2  1  |  5 18  | 14  4  |  6  3  | 17  7  | 13 12  | 11 15  |  8  9  | 10 16  |
----------------------------------------------------------------------------------------------------
