----------------------------------------------------------------------------------------------------
| 12 16  |  7  1  | 18  3  |  2 13  |  4  9  | 17  8  |  6 14  | 10  5  | 11 15  |
|  4  3  |  6 16  |  7 17  | 14 10  | 13 15  |  5 12  |  1  8  | 11  2  | 18  9  |
|  5  2  |  3 10  |  1 16  |  6 15  | 14 18  |  7  9  | 17 11  |  4 13  |  8 12  |
| 18 15  | 11  9  |  6 12  |  3 16  |  7 17  |  4 13  |  5  2  |  8  1  | 10 14  |
|  1 13  |  5 12  | 11 10  | 17  4  | 16  8  |  2 14  |  7  9  | 15 18  |  3  6  |
| 17  8  | 14 15  |  2  4  |  7 11  |  6 12  | 16 18  | 13 10  |  9  3  |  5  1  |
|  9 14  | 13  2  |  8 15  | 18 12  | 10  5  |  1 11  | 16  3  | 17  6  |  4  7  |
|  6 11  |  8 17  |  9 14  |  1  5  |  2  3  | 15 10  |  4 18  |  7 12  | 13 16  |
|  7 10  | 18  4  | 13  5  |  8  9  |  1 11  |  3  6  | 15 12  | 14 16  | 17  2  |
----------------------------------------------------------------------------------------------------
|  8 18  |  4  5  | 10 13  | 15 14  | 12 16  | 11  7  |  2  1  |  3  9  |  6 17  |
| 13  6  | 17  8  | 12  7  | 10  3  | 15  4  | 14 16  |  9  5  |  2 11  |  1 18  |
| 10  4  |  9  6  | 14  8  | 13 17  |  3  7  | 12  1  | 11 16  | 18 15  |  2  5  |
|  3  5  | 16 14  |  4  6  |  9  8  | 17 10  | 13  2  | 18 15  |  1  7  | 12 11  |
| 15 17  | 10  3  |  5 18  | 16  1  | 11  2  |  9  4  | 12 13  |  6 14  |  7  8  |
| 14  7  | 15 18  | 17  2  | 11  6  |  9  1  | 10  5  |  3  4  | 12  8  | 16 13  |
| 11  1  |  2  7  |  3  9  | 12 18  |  5 13  |  6 15  |  8 17  | 16  4  | 14 10  |
|  2  9  | 12 11  | 16  1  |  5  7  | 18 14  |  8  3  | 10  6  | 13 17  | 15  4  |
| 16 12  |  1 13  | 15 11  |  4  2  |  8  6  | 18 17  | 14  7  |  5 10  |  9  3  |
----------------------------------------------------------------------------------------------------
