----------------------------------------------------------------------------------------------------
|  2 16  | 10 17  |  7  1  |  4  8  | 11  5  | 14 13  |  6  3  | 12  9  | 15 18  |
| 10 11  |  2  4  |  9 16  | 12 13  |  1  8  |  7  5  | 15 14  | 17 18  |  3  6  |
| 15 12  | 14  6  |  8  5  | 17 11  | 13  2  | 16  4  | 18  9  | 10  3  |  1  7  |
|  3 13  | 11  1  | 10 17  |  6  5  | 12 14  | 18  9  | 16  8  | 15  7  |  4  2  |
|  6 18  |  3  7  | 14 15  | 16  2  |  4 10  | 12  8  |  5 13  |  1 11  |  9 17  |
| 14  8  | 13 16  | 11  2  |  3 10  | 18  9  |  1 15  |  7 17  |  6  4  | 12  5  |
|  1  4  |  9  5  | 13 12  | 18 15  |  7  3  |  6 17  | 11  2  |  8 14  | 16 10  |
|  5  9  | 18 12  |  6  4  | 14  7  | 15 17  |  2  3  |  1 10  | 13 16  |  8 11  |
| 17  7  |  8 15  | 18  3  |  1  9  |  6 16  | 10 11  |  4 12  |  2  5  | 14 13  |
----------------------------------------------------------------------------------------------------
|  9  2  |  7  8  |  4 18  |  5  1  |  3 12  | 17  6  | 13 15  | 16 10  | 11 14  |
| 18 15  |  4  9  | 17 11  | 13 14  |  5  6  |  3  1  | 12 16  |  7  2  | 10  8  |
| 12  1  | 15 11  |  2  8  |  7 18  | 16 13  |  4 14  | 10  6  |  9 17  |  5  3  |
|  4 14  | 17 10  | 12 13  |  8  6  |  9  7  | 11 18  |  3  1  |  5 15  |  2 16  |
|  7  3  | 12  2  |  1  9  | 15 16  | 17 18  | 13 10  | 14  5  | 11  8  |  6  4  |
| 13  5  |  6 14  | 15  7  |  2 17  | 10 11  |  9 16  |  8  4  |  3  1  | 18 12  |
| 16  6  |  1 18  |  3 14  | 10 12  |  8 15  |  5  7  |  2 11  |  4 13  | 17  9  |
| 11 10  |  5  3  | 16  6  |  9  4  | 14  1  |  8  2  | 17  7  | 18 12  | 13 15  |
|  8 17  | 16 13  |  5 10  | 11  3  |  2  4  | 15 12  |  9 18  | 14  6  |  7  1  |
----------------------------------------------------------------------------------------------------
