----------------------------------------------------------------------------------------------------
|  3  9  |  5  4  |  7 11  | 10  8  | 14 18  |  1  2  |  6 17  | 15 12  | 13 16  |
|  6 16  |  9 15  |  3  8  |  7 18  |  4 10  | 12 17  | 13 14  |  2 11  |  5  1  |
| 15  7  | 14 11  |  4  9  |  6 13  | 17  2  | 18  3  |  8  5  |  1 16  | 12 10  |
|  2  1  |  6 13  | 15 14  |  4  9  |  7 12  |  8 16  |  3 18  | 10  5  | 11 17  |
| 14 18  |  1  2  | 17 16  | 15  5  |  9  8  |  4 10  | 12 11  |  3 13  |  7  6  |
|  8 10  |  7 18  |  6  1  | 16 12  |  3 11  | 13  5  |  2 15  | 17  4  |  9 14  |
|  5 12  | 16  8  |  2 10  | 11 17  | 13 15  | 14  9  |  4  1  |  6  7  |  3 18  |
| 11  4  |  3 17  | 13 12  |  2 14  |  1  5  |  7  6  | 10 16  | 18  9  | 15  8  |
| 17 13  | 12 10  | 18  5  |  3  1  |  6 16  | 15 11  |  9  7  | 14  8  |  2  4  |
----------------------------------------------------------------------------------------------------
|  7  8  |  2 16  | 12 17  | 14 11  | 18  1  | 10  4  |  5 13  |  9 15  |  6  3  |
|  9 17  |  8  7  |  5 15  | 18  6  | 11  4  |  2 13  |  1  3  | 16 14  | 10 12  |
| 10  6  | 18 14  |  8  2  | 12  7  |  5  3  | 16  1  | 15  9  | 13 17  |  4 11  |
|  4  2  | 11 12  | 14 18  |  8 16  | 15  6  |  9  7  | 17 10  |  5  3  |  1 13  |
| 12 14  | 17  9  |  1  6  |  5  4  |  8 13  |  3 15  | 16  2  | 11 10  | 18  7  |
|  1  3  | 13  6  |  9  4  | 17  2  | 10 14  |  5 12  | 11  8  |  7 18  | 16 15  |
| 13 15  |  4  3  | 16  7  |  9 10  |  2 17  | 11  8  | 18  6  | 12  1  | 14  5  |
| 16  5  | 10  1  | 11  3  | 13 15  | 12  7  |  6 18  | 14  4  |  8  2  | 17  9  |
| 18 11  | 15  5  | 10 13  |  1  3  | 16  9  | 17 14  |  7 12  |  4  6  |  8  2  |
----------------------------------------------------------------------------------------------------
