----------------------------------------------------------------------------------------------------
|  3 18  | 11 15  |  7 12  |  8 14  | 16 17  |  9  4  | 10  5  | 13  6  |  1  2  |
|  2 15  | 13  4  |  1  6  | 17  7  |  8 12  | 16  5  |  9 18  | 10  3  | 11 14  |
| 12  4  |  3  2  | 15 17  |  6 11  |  7  1  |  8 13  | 16 14  | 18  9  |  5 10  |
| 13  7  | 14  8  |  9  2  |  1 16  |  6 11  | 12 10  | 15  4  |  5 17  | 18  3  |
|  5  6  | 10  7  | 11  3  |  2 12  |  9  4  |  1 18  |  8 17  | 16 14  | 13 15  |
| 14  1  | 17 16  |  8  5  | 18  3  | 13 10  |  6  7  | 12 11  |  2 15  |  9  4  |
| 16 11  |  5 18  | 14 10  |  9  4  |  3  2  | 17 15  |  6 13  |  1 12  |  8  7  |
| 10  9  |  6  1  | 18 16  | 15 13  | 14  5  |  2 11  |  7  3  |  8  4  | 12 17  |
|  8 17  |  9 12  | 13  4  | 10  5  | 15 18  |  3 14  |  1  2  |  7 11  |  6 16  |
----------------------------------------------------------------------------------------------------
|  7 13  | 15  5  | 17  9  | 16  2  | 10 14  | 11 12  | 18  6  |  3  8  |  4  1  |
|  9  3  |  7 17  | 16  1  | 14 18  |  2 13  | 10  6  | 11 12  |  4  5  | 15  8  |
|  6 12  | 18  9  |  3 13  |  5  8  |  4 15  | 14 16  |  2 10  | 17  1  |  7 11  |
| 17  2  |  8 13  | 10 11  |  4  6  | 18 16  | 15  3  |  5  1  | 12  7  | 14  9  |
|  1 10  | 12 14  |  6  8  | 13  9  | 11  3  |  5  2  |  4  7  | 15 16  | 17 18  |
| 11 14  | 16 10  |  4  7  | 12 17  |  5  8  | 13  1  |  3 15  |  9 18  |  2  6  |
| 18  5  |  1  3  |  2 14  |  7 15  | 17  6  |  4  8  | 13  9  | 11 10  | 16 12  |
|  4 16  |  2  6  | 12 15  | 11 10  |  1  7  | 18  9  | 17  8  | 14 13  |  3  5  |
| 15  8  |  4 11  |  5 18  |  3  1  | 12  9  |  7 17  | 14 16  |  6  2  | 10 13  |
----------------------------------------------------------------------------------------------------
