----------------------------------------------------------------------------------------------------
|  5  2  | 11 10  | 12  8  |  3  9  | 13 17  |  4 15  | 14  1  | 18  6  | 16  7  |
|  8 15  |  5 17  |  6 11  |  7  4  |  3 18  | 14 10  | 13  2  |  1 16  |  9 12  |
| 11 12  | 13 14  |  5  7  | 18 10  |  1  2  |  3 17  |  8 16  | 15  9  |  4  6  |
| 16  3  |  7  4  | 14 15  | 11  5  | 12  6  | 18  9  | 17 10  |  2 13  |  8  1  |
| 18  7  |  2  3  |  4 13  | 14 15  |  5  9  |  1 16  |  6 11  |  8 12  | 10 17  |
| 13  4  | 18 15  |  2  9  | 16  1  | 14 10  |  6  8  |  3 12  |  7 17  |  5 11  |
|  1 17  | 12  8  | 18 10  |  2  6  | 11 16  |  5  7  |  9 15  |  3  4  | 13 14  |
|  6 14  |  1  9  | 17 16  | 12 13  | 15  8  |  2 11  |  7  4  | 10  5  |  3 18  |
| 10  9  | 16  6  |  1  3  |  8 17  |  7  4  | 12 13  | 18  5  | 11 14  | 15  2  |
----------------------------------------------------------------------------------------------------
|  4 11  | 15  2  |  9 14  | 13  7  | 16 12  | 17  6  |  1  3  |  5 10  | 18  8  |
|  7 13  | 10 18  | 15  4  |  9  3  |  6  5  | 11  1  |  2 17  | 12  8  | 14 16  |
| 12  8  |  4 13  |  3  2  | 17 18  |  9  1  | 10  5  | 11 14  | 16  7  |  6 15  |
|  9  1  | 17 12  |  7  6  |  5 14  | 18 15  | 16  3  | 10  8  |  4  2  | 11 13  |
|  3 18  |  9  1  | 13 12  | 10  2  |  8 14  | 15  4  | 16  6  | 17 11  |  7  5  |
| 17 16  |  8  7  | 10  1  | 15 12  |  4 11  |  9 14  |  5 13  |  6 18  |  2  3  |
|  2  5  |  3 11  |  8 18  |  6 16  | 10 13  |  7 12  | 15  9  | 14  1  | 17  4  |
| 14 10  |  6  5  | 16 17  |  1 11  |  2  3  |  8 18  |  4  7  | 13 15  | 12  9  |
| 15  6  | 14 16  | 11  5  |  4  8  | 17  7  | 13  2  | 12 18  |  9  3  |  1 10  |
----------------------------------------------------------------------------------------------------
