----------------------------------------------------------------------------------------------------
| 15 13  | 10 16  | 14 18  | 17  8  | 11  7  | 12  1  |  2  5  |  9  4  |  3  6  |
|  2  4  |  6  5  | 16  8  | 18  9  | 15  1  | 11 10  |  7 17  |  3 13  | 12 14  |
| 16 18  |  7 11  |  3  9  | 14  5  | 17  2  | 15  8  |  1 10  |  6 12  | 13  4  |
|  7 11  |  4 18  |  1 13  | 16  3  |  6 14  |  2  5  | 15 12  | 10  8  | 17  9  |
|  1  5  | 15 12  |  6 10  |  2 13  |  9  3  | 16 17  | 11  4  | 14 18  |  7  8  |
| 12 14  |  9  8  | 11  2  |  1  7  | 18 13  |  3  4  | 16  6  | 17 15  |  5 10  |
|  8  6  |  1 14  | 12 17  | 11 10  | 16  4  |  7  9  |  3 13  |  2  5  | 15 18  |
| 10  9  | 17  3  |  7  5  | 15  4  |  8 12  | 13  6  | 14 18  | 16  1  | 11  2  |
|  3 17  | 13  2  | 15  4  |  6 12  |  5 10  | 18 14  |  8  9  | 11  7  | 16  1  |
----------------------------------------------------------------------------------------------------
|  6  2  | 14 13  |  9  3  | 10 11  |  1 17  |  8  7  | 18 15  |  5 16  |  4 12  |
| 18  8  |  5 10  | 17 16  |  9 15  |  2 11  |  1 12  | 13  7  |  4  6  | 14  3  |
|  4 15  | 18  6  |  8 11  |  7  1  | 10  9  | 14 13  | 17 16  | 12  3  |  2  5  |
|  5  1  |  8 15  | 10  6  | 12 14  |  7 16  | 17 11  |  4  3  | 18  2  |  9 13  |
| 13  3  | 12  1  |  2 15  |  4 18  | 14  6  | 10 16  |  5 11  |  7  9  |  8 17  |
| 17 16  |  2  4  | 13 12  |  8  6  |  3 15  |  5 18  |  9 14  |  1 11  | 10  7  |
| 14 12  | 11 17  |  5  7  | 13  2  |  4  8  |  9  3  |  6  1  | 15 10  | 18 16  |
| 11  7  |  3  9  |  4 14  |  5 16  | 12 18  |  6  2  | 10  8  | 13 17  |  1 15  |
|  9 10  | 16  7  | 18  1  |  3 17  | 13  5  |  4 15  | 12  2  |  8 14  |  6 11  |
----------------------------------------------------------------------------------------------------
