----------------------------------------------------------------------------------------------------
| 12 14  |  6  4  |  3  1  | 18 15  | 16  8  |  9 13  | 10 11  |  5  2  |  7 17  |
| 16  6  | 13  3  | 10  9  |  7  4  | 18 11  | 14  5  |  8  1  | 17 12  | 15  2  |
| 15  1  |  7 16  | 14  2  |  9 10  |  4 13  | 11  8  |  5 17  |  6  3  | 12 18  |
|  3  8  |  5 12  |  6 18  | 14 17  |  9 10  |  7  1  | 13  2  | 11 15  |  4 16  |
|  5  4  |  1 18  | 16  7  | 12  2  | 15 14  | 10 17  |  9  3  | 13  8  | 11  6  |
|  7 13  | 14  8  | 17  5  | 11  6  | 12  3  | 18  2  |  4 15  | 10 16  |  1  9  |
| 10  9  |  2 11  |  8  4  |  5 16  |  7 17  |  3 15  |  6 12  |  1 18  | 13 14  |
| 18 17  | 10  9  | 15 11  |  3 13  |  2  1  | 12  6  |  7 16  |  4 14  |  8  5  |
|  2 11  | 17 15  | 13 12  |  8  1  |  5  6  | 16  4  | 18 14  |  7  9  |  3 10  |
----------------------------------------------------------------------------------------------------
| 14 18  |  3 10  |  7 15  |  6 11  | 17  4  |  2 12  |  1 13  | 16  5  |  9  8  |
|  9  7  | 12  1  |  4 14  | 13  3  |  6 16  |  8 10  | 11 18  |  2 17  |  5 15  |
|  8  5  | 15 14  |  1 13  | 10 12  | 11  2  | 17 18  |  3  6  |  9  7  | 16  4  |
| 17  3  |  9  7  |  2 16  |  4 14  | 13 12  |  6 11  | 15  5  |  8 10  | 18  1  |
|  1 10  | 16 17  |  5  3  |  2 18  | 14  9  |  4  7  | 12  8  | 15 11  |  6 13  |
|  4 12  | 18  5  | 11 17  | 16  8  |  1 15  | 13 14  |  2  9  |  3  6  | 10  7  |
| 13 16  |  8  2  | 12  6  | 15  9  | 10  7  |  5  3  | 14  4  | 18  1  | 17 11  |
|  6  2  | 11 13  |  9 10  |  1  5  |  8 18  | 15 16  | 17  7  | 12  4  | 14  3  |
| 11 15  |  4  6  | 18  8  | 17  7  |  3  5  |  1  9  | 16 10  | 14 13  |  2 12  |
----------------------------------------------------------------------------------------------------
