----------------------------------------------------------------------------------------------------
|  1 18  | 17 16  |  3 12  |  9  4  | 14  8  | 11  6  | 10 15  |  2  5  |  7 13  |
|  8 17  | 18  3  | 16 14  | 13 12  |  7  9  | 10  2  | 11  6  |  1 15  |  5  4  |
|  9  6  | 10  1  | 15 13  | 18 11  | 16  5  |  7  8  | 17 12  | 14  4  |  3  2  |
|  5 13  |  9 14  | 17 18  |  1 16  | 15 10  |  4 12  |  2  8  |  3  7  | 11  6  |
| 10  2  |  5 15  |  9  6  | 17  3  | 18 13  | 16  1  |  4  7  | 11  8  | 12 14  |
| 14  7  |  8  4  | 10 11  | 15  5  | 12  2  | 17  3  | 16  9  |  6 13  |  1 18  |
| 15 16  |  2 11  |  8  5  | 14  7  |  6  4  |  9 13  |  1  3  | 12 18  | 10 17  |
|  3 12  | 13  6  |  7  4  | 10  2  | 11  1  | 15 14  |  5 18  | 16 17  |  8  9  |
| 11  4  |  7 12  |  1  2  |  8  6  | 17  3  |  5 18  | 13 14  | 10  9  | 15 16  |
----------------------------------------------------------------------------------------------------
|  4  5  | 12 17  |  2 16  |  3  8  | 13 14  | 18 15  |  6 11  |  7  1  |  9 10  |
| 17  8  | 14 10  | 12  1  | 16 15  |  3  7  | 13  4  |  9  2  | 18 11  |  6  5  |
|  7  1  |  4  9  | 11 17  |  2 10  |  8 15  |  3 16  | 14 13  |  5  6  | 18 12  |
| 12  9  |  1  8  | 18 15  | 11 13  |  4 16  |  6  5  |  3 10  | 17 14  |  2  7  |
|  6 10  | 11 13  | 14  9  |  7  1  |  2 18  | 12 17  | 15  5  |  4  3  | 16  8  |
| 16 15  |  6  7  |  5 10  |  4 17  |  9 12  | 14 11  | 18  1  |  8  2  | 13  3  |
|  2 14  | 16 18  |  6  3  | 12  9  |  5 11  |  1  7  |  8  4  | 13 10  | 17 15  |
| 18  3  | 15  5  | 13  8  |  6 14  |  1 17  |  2 10  |  7 16  |  9 12  |  4 11  |
| 13 11  |  3  2  |  4  7  |  5 18  | 10  6  |  8  9  | 12 17  | 15 16  | 14  1  |
----------------------------------------------------------------------------------------------------
