----------------------------------------------------------------------------------------------------
|  6 14  | 15 11  |  8  9  |  7 17  | 13 16  |  2 18  | 10  5  |  4  3  |  1 12  |
| 13 18  | 14 17  |  5 11  |  8 15  |  2  6  |  1  9  | 16 12  | 10  7  |  3  4  |
|  2  1  |  6  4  | 15 14  | 11 16  |  7  8  |  3 17  | 18  9  | 12  5  | 13 10  |
|  4  5  |  8  7  |  1  6  |  3 18  | 11 10  | 16 12  | 17 15  |  9 13  | 14  2  |
| 16  8  |  1  5  |  2 12  | 14  6  |  3 18  |  7 10  |  4 13  | 17 15  |  9 11  |
|  9 15  | 18 12  |  4 16  |  1 10  | 14  5  |  8 13  |  3  7  | 11  2  | 17  6  |
|  7  3  | 13 10  | 18 17  | 12  4  |  1  9  |  5 11  |  2  8  | 14  6  | 15 16  |
| 11 12  | 16  3  | 10 13  |  9  2  | 15 17  | 14  4  |  1  6  | 18  8  |  5  7  |
| 10 17  |  2  9  |  7  3  |  5 13  | 12  4  | 15  6  | 11 14  | 16  1  | 18  8  |
----------------------------------------------------------------------------------------------------
| 17  2  | 12  6  |  9  8  | 18  3  | 10 11  | 13 14  |  7  1  | 15 16  |  4  5  |
|  8  6  |  9 15  | 17 10  | 16  5  |  4  7  | 12  1  | 13 11  |  3 14  |  2 18  |
|  1 16  |  5  8  |  6 18  | 17 11  |  9 12  |  4  2  | 14  3  | 13 10  |  7 15  |
| 18  9  | 11 14  | 13  7  | 10 12  |  6 15  | 17  8  |  5  2  |  1  4  | 16  3  |
|  3 13  |  7  2  | 12  5  | 15  8  | 18 14  | 11 16  |  9  4  |  6 17  | 10  1  |
| 12  4  | 10 13  | 11 15  |  2 14  |  5  1  |  9  3  |  6 16  |  7 18  |  8 17  |
|  5 10  | 17  1  | 14  4  | 13  7  | 16  3  |  6 15  |  8 18  |  2 11  | 12  9  |
| 14  7  |  4 16  |  3  1  |  6  9  | 17  2  | 18  5  | 15 10  |  8 12  | 11 13  |
| 15 11  |  3 18  | 16  2  |  4  1  |  8 13  | 10  7  | 12 17  |  5  9  |  6 14  |
----------------------------------------------------------------------------------------------------
