----------------------------------------------------------------------------------------------------
| 14  2  |  7 17  | 16 13  | 12  3  | 11 15  |  6  4  |  1  9  |  8 18  | 10  5  |
| 17  4  |  2  1  |  8 12  |  6  7  | 10 16  |  5 18  | 15 11  | 13  9  | 14  3  |
| 12 13  | 11  3  |  2  1  |  4 17  |  7 14  | 16 15  |  5 18  | 10  6  |  8  9  |
| 11  5  | 13 18  | 17 10  |  1 16  |  3  9  |  7  8  |  6  2  | 15 14  |  4 12  |
|  6  9  | 14  5  | 11  3  | 13 15  | 12  8  | 17  2  | 16 10  |  1  4  | 18  7  |
|  1  7  | 15  6  | 14  4  | 18 11  | 13  5  | 10  9  | 17  8  |  3 12  | 16  2  |
| 16 15  | 10  4  |  7  5  |  8  9  | 18  6  | 11  3  | 12 14  | 17  2  |  1 13  |
| 18  8  |  9 16  | 15  6  | 10  2  |  4  1  | 12 14  |  3 13  |  5  7  | 17 11  |
| 10  3  |  8 12  | 18  9  | 14  5  | 17  2  | 13  1  |  7  4  | 16 11  | 15  6  |
----------------------------------------------------------------------------------------------------
|  5 12  | 18  7  |  3 14  |  9  6  |  1 13  |  2 10  |  8 17  |  4 15  | 11 16  |
|  4 18  |  5 14  | 12 17  |  3 10  |  6 11  |  1 16  |  2  7  |  9  8  | 13 15  |
|  3 10  |  4 15  |  6 18  | 11 14  |  8 12  |  9  5  | 13 16  |  7 17  |  2  1  |
|  9 11  |  3 13  |  4  8  |  2 18  | 15  7  | 14  6  | 10  1  | 12 16  |  5 17  |
|  8 17  | 12 11  | 13 15  | 16  4  |  9  3  | 18  7  | 14  5  |  2  1  |  6 10  |
| 13 16  |  6  8  | 10  2  | 15  1  | 14 18  |  3 17  |  9 12  | 11  5  |  7  4  |
|  7  6  | 16  9  |  1 11  |  5  8  |  2 17  | 15 13  |  4  3  | 14 10  | 12 18  |
|  2  1  | 17 10  |  9 16  |  7 12  |  5  4  |  8 11  | 18 15  |  6 13  |  3 14  |
| 15 14  |  1  2  |  5  7  | 17 13  | 16 10  |  4 12  | 11  6  | 18  3  |  9  8  |
----------------------------------------------------------------------------------------------------
