----------------------------------------------------------------------------------------------------
| 14 15  |  9 12  | 10 18  | 17 11  |  3  7  |  2  6  |  8  4  |  5 16  |  1 13  |
| 11  8  |  4 17  | 16  7  | 10  1  | 14  9  |  3  5  | 12  6  | 18 13  | 15  2  |
| 18  2  |  8 15  |  6  9  |  7  5  | 17 13  |  4 10  |  1  3  | 12 14  | 16 11  |
|  6  1  | 13 10  | 15 12  |  3  4  |  5 16  |  9  8  |  7  2  | 17 11  | 18 14  |
|  9  3  | 18  6  |  1 17  | 15 16  | 10  4  |  7 13  | 11 14  |  2  8  | 12  5  |
| 16  7  |  1  2  | 14 11  |  9  6  | 12 18  | 17 15  |  5 13  |  4  3  |  8 10  |
| 12  5  |  3 11  |  2  4  |  8 13  |  1  6  | 18 14  | 17 16  | 10 15  |  9  7  |
| 10  4  |  7  5  |  3 13  | 14 12  |  8  2  | 16 11  | 15 18  |  1  9  | 17  6  |
| 17 13  | 14 16  |  8  5  |  2 18  | 15 11  |  1 12  |  9 10  |  7  6  |  4  3  |
----------------------------------------------------------------------------------------------------
| 13  6  | 11  1  |  9 14  | 16 17  |  4 10  |  8  2  |  3  5  | 15 12  |  7 18  |
|  1 14  | 15 18  |  5 16  |  6  2  |  9  8  | 10 17  |  4 11  |  3  7  | 13 12  |
| 15 17  | 12  7  | 11  1  | 13 14  |  6  3  |  5 18  | 10  8  | 16  4  |  2  9  |
|  2 11  |  6  8  |  7  3  |  1  9  | 16 14  | 12  4  | 18 17  | 13  5  | 10 15  |
|  7 10  | 17 13  | 18  6  | 11 15  |  2  5  | 14  9  | 16 12  |  8  1  |  3  4  |
|  3 16  |  5  4  | 13  8  | 12  7  | 18 15  | 11  1  |  2  9  |  6 10  | 14 17  |
|  4 12  | 16  3  | 17  2  |  5 10  | 11  1  | 13  7  | 14 15  |  9 18  |  6  8  |
|  5 18  | 10  9  | 12 15  |  4  8  |  7 17  |  6  3  | 13  1  | 14  2  | 11 16  |
|  8  9  |  2 14  |  4 10  | 18  3  | 13 12  | 15 16  |  6  7  | 11 17  |  5  1  |
----------------------------------------------------------------------------------------------------
