----------------------------------------------------------------------------------------------------
| 17 12  | 16 11  |  2  1  |  5 18  |  9 10  |  7 15  | 14 13  |  6  3  |  8  4  |
|  1  4  |  5 15  | 18 11  |  6 14  |  8  3  | 10 13  | 16 12  | 17  9  |  7  2  |
|  3  8  | 12  4  | 17 16  |  1  9  |  6 18  | 14  5  | 11  7  | 15  2  | 13 10  |
| 13 11  |  3 17  | 12  4  | 16  2  |  5  7  |  8 18  |  9 10  |  1 14  |  6 15  |
| 15 10  |  9  8  |  3  5  | 17 12  | 11  2  |  6  4  | 18  1  |  7 13  | 14 16  |
| 18 14  | 13  1  | 15  8  | 11  7  | 16 12  |  9  3  |  6  2  | 10  4  | 17  5  |
| 16  2  | 10 18  |  6  7  | 13  3  |  4 14  | 12 11  | 15 17  |  8  5  |  9  1  |
|  9  5  |  6  7  | 10 14  |  8 15  | 13 17  |  2  1  |  3  4  | 11 16  | 18 12  |
|  6  7  |  2 14  | 13  9  | 10  4  |  1 15  | 16 17  |  8  5  | 18 12  | 11  3  |
----------------------------------------------------------------------------------------------------
| 14  6  |  7 12  |  1 13  |  3 11  |  2  4  |  5 10  | 17  8  |  9 15  | 16 18  |
| 12 13  |  8  9  |  5  2  | 15 17  | 10  1  |  4 16  |  7  6  | 14 18  |  3 11  |
| 10 18  | 15  6  |  9  3  |  7 13  | 14  5  |  1  2  |  4 11  | 16  8  | 12 17  |
|  7 16  | 18 13  |  4 12  |  9  6  | 15 11  | 17 14  |  2  3  |  5  1  | 10  8  |
|  4 15  |  1  2  | 16 10  | 12  8  | 17  6  | 11  9  | 13 18  |  3  7  |  5 14  |
| 11  3  |  4 10  | 14  6  |  2 16  |  7 13  | 18  8  |  5 15  | 12 17  |  1  9  |
|  5 17  | 14 16  |  7 15  |  4 10  | 18  8  |  3 12  |  1  9  | 13 11  |  2  6  |
|  2  9  | 11  5  |  8 17  | 18  1  |  3 16  | 13  6  | 12 14  |  4 10  | 15  7  |
|  8  1  | 17  3  | 11 18  | 14  5  | 12  9  | 15  7  | 10 16  |  2  6  |  4 13  |
----------------------------------------------------------------------------------------------------
