----------------------------------------------------------------------------------------------------
|  6  9  |  8  4  | 11  5  | 14 17  |  1 13  |  3  7  | 18 12  | 10 15  |  2 16  |
| 13 16  |  9 17  |  4  8  | 11 15  |  7 18  |  1 12  |  3  6  |  5  2  | 10 14  |
| 14  3  | 13 10  |  9 12  |  5  7  | 11 15  | 16 18  |  4  2  |  8  6  |  1 17  |
|  7 17  | 16  3  |  1  6  |  4 18  | 12  2  | 15 11  |  5 10  | 14  9  |  8 13  |
|  5 15  | 14  2  | 17  3  |  8  9  | 10 16  | 13  4  | 11  1  | 12  7  | 18  6  |
|  8  4  | 18  1  | 10 13  |  3 12  | 17  9  |  2  6  | 15 14  | 11 16  |  5  7  |
|  2 12  |  7 15  | 14 18  | 10 13  |  3  6  |  9  5  | 16  8  |  1 17  | 11  4  |
| 11 10  |  5  6  |  7  2  |  1 16  |  8  4  | 17 14  |  9 13  |  3 18  | 15 12  |
| 18  1  | 11 12  | 16 15  |  2  6  |  5 14  |  8 10  | 17  7  |  4 13  |  9  3  |
----------------------------------------------------------------------------------------------------
| 10  8  | 17 16  |  2 14  | 15  5  | 13  3  | 18  1  |  7 11  |  6  4  | 12  9  |
| 15 18  |  2 13  |  5  1  | 16  8  |  4 10  | 14  9  |  6  3  |  7 12  | 17 11  |
|  1 14  |  4 11  | 18  9  | 12  2  | 15  8  |  6 17  | 10 16  | 13  3  |  7  5  |
| 16  2  | 10 14  | 13 11  | 17  4  |  6  5  |  7  8  | 12  9  | 15  1  |  3 18  |
|  3 11  | 15  5  |  8 10  |  6  1  |  9  7  | 12 16  | 13 18  | 17 14  |  4  2  |
|  4  5  | 12  8  |  6  7  |  9 14  | 16  1  | 10  3  |  2 17  | 18 11  | 13 15  |
| 17 13  |  1 18  | 15 16  |  7  3  | 14 12  | 11  2  |  8  4  |  9  5  |  6 10  |
| 12  7  |  6  9  |  3  4  | 18 11  |  2 17  |  5 13  |  1 15  | 16 10  | 14  8  |
|  9  6  |  3  7  | 12 17  | 13 10  | 18 11  |  4 15  | 14  5  |  2  8  | 16  1  |
----------------------------------------------------------------------------------------------------
