----------------------------------------------------------------------------------------------------
| 18 15  |  1 14  |  9 16  |  8 12  |  4  3  |  2  5  |  6  7  | 17 10  | 11 13  |
| 17  6  | 16  3  | 12  2  |  5 13  |  9 11  |  7 10  | 15  8  | 14  1  | 18  4  |
| 14  5  | 18 11  | 15 10  |  2  6  |  8  1  |  3  9  | 17  4  |  7 13  | 12 16  |
|  8  3  |  6 12  |  4 11  |  7  9  | 16 10  | 13 14  |  2 18  | 15  5  | 17  1  |
|  4  2  |  8 17  |  6  1  | 11 16  | 12 13  | 18 15  | 10 14  |  3  9  |  7  5  |
| 12 16  | 15 13  | 14  8  |  3 17  |  6  7  | 11  4  |  5  1  | 18  2  | 10  9  |
|  9 13  |  7  5  |  3 17  | 15 10  | 14 18  |  1  8  | 11 12  |  4 16  |  2  6  |
|  1 10  |  9  2  | 13  7  | 18  4  | 15  5  | 12 17  |  3 16  | 11  6  | 14  8  |
| 11  7  |  4 10  | 18  5  |  1 14  |  2 17  | 16  6  |  9 13  |  8 12  |  3 15  |
----------------------------------------------------------------------------------------------------
| 13 17  |  2  9  |  5  6  | 16 18  |  7  8  | 10 12  |  4  3  |  1 14  | 15 11  |
|  6 18  | 11  8  |  1  9  | 10 15  | 13  2  | 14  7  | 16 17  |  5  3  |  4 12  |
|  5  9  | 17 18  |  8 12  | 13  7  |  3 14  |  4 11  |  1  6  |  2 15  | 16 10  |
|  7  4  | 13 16  | 10 18  | 14  5  | 11 15  |  9  3  | 12  2  |  6  8  |  1 17  |
| 16 11  |  5 15  |  7 14  | 12  8  |  1  4  |  6  2  | 18 10  |  9 17  | 13  3  |
|  3 12  | 14  7  | 17  4  |  9 11  | 10 16  | 15  1  |  8  5  | 13 18  |  6  2  |
|  2  1  | 10  4  | 16 13  | 17  3  |  5  6  |  8 18  | 14 15  | 12 11  |  9  7  |
| 10  8  |  3  1  | 11 15  |  6  2  | 18 12  | 17 13  |  7  9  | 16  4  |  5 14  |
| 15 14  | 12  6  |  2  3  |  4  1  | 17  9  |  5 16  | 13 11  | 10  7  |  8 18  |
----------------------------------------------------------------------------------------------------
