----------------------------------------------------------------------------------------------------
|  7  9  |  1  6  |  3 13  | 10  2  | 18  5  | 15  8  | 17 16  |  4 12  | 11 14  |
| 16  5  |  8 14  | 11 10  |  3  9  | 17 12  | 18 13  | 15  4  |  2  7  |  1  6  |
| 10 18  | 15 16  |  1  8  | 14 13  |  4  3  |  7  5  | 12  9  |  6 11  |  2 17  |
| 12 14  | 18  7  | 15  6  | 11  4  | 13 10  |  3  1  |  5  2  | 17 16  |  9  8  |
|  4 11  |  9  5  | 14 18  | 16  8  | 15  2  | 12 17  |  7  6  |  1 13  |  3 10  |
| 17 13  | 12  3  |  7  5  | 18 15  | 14  9  |  2  6  |  1 11  | 10  8  | 16  4  |
|  6  1  |  4 10  | 16  2  |  5 17  |  8 11  | 14  9  | 18 13  | 15  3  | 12  7  |
|  2  3  | 11 17  |  9 12  |  6  7  | 16  1  | 10  4  | 14  8  | 18  5  | 13 15  |
| 15  8  |  2 13  | 17  4  | 12  1  |  6  7  | 16 11  |  3 10  |  9 14  | 18  5  |
----------------------------------------------------------------------------------------------------
| 13 10  |  5  9  |  8 15  |  2 11  |  1 17  |  4  7  |  6  3  | 12 18  | 14 16  |
|  8 15  | 10 12  |  5  9  | 13 16  |  7 14  |  6  2  | 11 17  |  3  1  |  4 18  |
| 18 12  |  3  4  | 13 17  |  9  5  |  2 16  |  1 14  |  8 15  |  7  6  | 10 11  |
|  5  6  | 13 15  |  4 14  |  8 12  |  3 18  | 11 10  |  2  7  | 16  9  | 17  1  |
|  9  4  | 14  1  | 10  7  | 15  3  |  5 13  |  8 18  | 16 12  | 11 17  |  6  2  |
| 14 17  |  6 11  | 12  3  |  1 18  | 10 15  | 13 16  |  4  5  |  8  2  |  7  9  |
| 11 16  |  7 18  |  2  1  |  4 10  |  9  6  | 17  3  | 13 14  |  5 15  |  8 12  |
|  3  2  | 17  8  | 18 16  |  7  6  | 11  4  |  5 12  |  9  1  | 14 10  | 15 13  |
|  1  7  | 16  2  |  6 11  | 17 14  | 12  8  |  9 15  | 10 18  | 13  4  |  5  3  |
----------------------------------------------------------------------------------------------------
