----------------------------------------------------------------------------------------------------
|  6 18  |  2  9  | 14 13  | 16  7  | 12 15  | 17 11  |  5  1  |  3 10  |  8  4  |
|  3  2  | 18 16  |  6  7  |  9 11  |  4 13  | 12  5  | 15  8  |  1 14  | 10 17  |
| 15  7  | 17 11  |  3 18  |  1 14  |  2 10  |  9  6  | 12  4  |  8  5  | 16 13  |
|  4  1  |  8 14  | 11 17  | 10 13  |  3  6  | 15  7  |  9 18  | 12 16  |  5  2  |
| 11 16  |  7  3  |  8  5  |  2 18  | 14 17  | 10  4  |  6 13  | 15  9  | 12  1  |
| 10 12  | 13  5  | 16  2  |  3  8  | 18  7  |  1 14  | 11 17  |  4  6  |  9 15  |
| 17  5  | 12  1  |  9  4  |  6 15  | 11 16  | 18  8  | 14 10  | 13  2  |  3  7  |
| 13  8  | 10  4  |  1 15  | 17 12  |  9  5  | 16  2  |  7  3  | 18 11  |  6 14  |
|  9 14  |  6 15  | 12 10  |  5  4  |  8  1  | 13  3  | 16  2  | 17  7  | 11 18  |
----------------------------------------------------------------------------------------------------
|  1 11  | 15 18  |  2 12  |  8  9  | 13  4  |  5 16  | 17  6  |  7  3  | 14 10  |
| 14  4  |  3  2  | 15  6  | 12  1  | 17 18  |  7  9  | 10  5  | 16  8  | 13 11  |
|  8 13  |  1  6  | 10  3  | 15  2  |  7  9  | 14 17  |  4 16  | 11 12  | 18  5  |
| 16  6  |  4 17  |  7 14  | 13  5  |  1  2  |  3 12  |  8 11  | 10 18  | 15  9  |
|  5  9  | 11 12  | 18  1  |  7  3  | 15  8  |  6 10  | 13 14  |  2 17  |  4 16  |
| 18 15  | 16 13  | 17  9  | 14 10  |  5 12  | 11  1  |  3  7  |  6  4  |  2  8  |
|  7 17  | 14 10  | 13  8  | 11  6  | 16  3  |  4 18  |  2  9  |  5 15  |  1 12  |
|  2  3  |  5  7  |  4 11  | 18 16  | 10 14  |  8 15  |  1 12  |  9 13  | 17  6  |
| 12 10  |  9  8  |  5 16  |  4 17  |  6 11  |  2 13  | 18 15  | 14  1  |  7  3  |
----------------------------------------------------------------------------------------------------
