----------------------------------------------------------------------------------------------------
|  2  4  |  5 17  | 13 18  | 12  7  | 11  9  | 16 10  |  3  6  | 15 14  |  8  1  |
| 18 16  |  1  3  |  4 11  |  5  8  | 10 14  | 12  6  | 15 13  |  2  7  | 17  9  |
|  5 15  | 18 12  | 10  6  | 13  2  |  8  7  |  3  4  | 16 17  |  1  9  | 11 14  |
| 11 10  |  4 14  |  5  2  | 18 16  |  6  3  |  8  1  | 12  9  | 13 17  | 15  7  |
|  9 14  |  2  7  | 12 17  |  3  6  | 13 16  |  5 15  |  1  8  | 10 11  |  4 18  |
|  1 13  | 11 15  |  3 16  |  4 10  | 12  2  | 17  9  |  7 14  |  8 18  |  5  6  |
| 12 17  | 16 10  |  1  8  | 11  9  |  4 15  |  7 14  |  5 18  |  3  6  | 13  2  |
|  3  7  |  8  6  | 15  9  | 17 14  | 18  1  | 11 13  |  4  2  | 12  5  | 10 16  |
|  8  6  | 13  9  |  7 14  | 15  1  |  5 17  | 18  2  | 11 10  | 16  4  |  3 12  |
----------------------------------------------------------------------------------------------------
| 10  1  | 15 11  | 16  5  |  9  3  | 14 13  |  6 18  |  2 12  |  4  8  |  7 17  |
| 17  5  |  3 13  | 18 15  |  7 12  |  1 10  |  2 11  |  6  4  | 14 16  |  9  8  |
|  4 18  | 10  2  | 17  1  |  6  5  |  9 12  | 15  3  |  8 16  |  7 13  | 14 11  |
|  6  9  |  7  4  | 14 10  |  2 15  | 17 18  |  1  8  | 13 11  |  5 12  | 16  3  |
| 16 12  | 17  5  |  2 13  | 10 11  |  3  8  | 14  7  | 18  1  |  9 15  |  6  4  |
| 15  8  |  9 18  | 11  7  | 16 13  |  2  5  |  4 17  | 14  3  |  6  1  | 12 10  |
| 13 11  |  6 16  |  8  3  | 14 18  | 15  4  | 10 12  |  9  7  | 17  2  |  1  5  |
|  7  3  | 14  8  |  6 12  |  1  4  | 16 11  |  9  5  | 17 15  | 18 10  |  2 13  |
| 14  2  | 12  1  |  9  4  |  8 17  |  7  6  | 13 16  | 10  5  | 11  3  | 18 15  |
----------------------------------------------------------------------------------------------------
