----------------------------------------------------------------------------------------------------
|  2 12  | 15  1  | 10  6  | 11  9  |  4  7  |  8 13  | 18 14  | 17  3  | 16  5  |
| 16  6  |  9  2  | 12 11  |  7 17  | 13 18  |  5  4  |  1 10  | 14 15  |  8  3  |
| 13  3  | 12 10  |  9 14  | 15  6  | 11  5  |  1  2  |  8  7  |  4 16  | 17 18  |
|  9 10  | 13 11  | 15 18  |  4  8  |  6 14  | 12 16  |  3 17  |  1  5  |  2  7  |
|  8 15  | 16  7  |  5  4  | 10 12  |  3  9  | 11 17  |  2 13  | 18  6  |  1 14  |
|  4 11  |  3 17  |  2  7  |  5 14  | 10  1  | 18  9  | 16 15  | 13  8  |  6 12  |
|  1 17  |  8 18  |  3 16  |  2 13  | 15 12  |  7 14  |  5  6  | 10  9  | 11  4  |
|  5 18  |  4 14  | 13  8  |  3  1  | 17 16  | 10  6  | 11 12  |  7  2  | 15  9  |
| 14  7  |  5  6  | 17  1  | 16 18  |  8  2  | 15  3  |  4  9  | 11 12  | 13 10  |
----------------------------------------------------------------------------------------------------
|  6  8  | 17  3  | 11 15  | 13  2  |  9 10  |  4  5  |  7 16  | 12 18  | 14  1  |
| 10  5  | 18 12  |  7  3  | 17 15  | 14 13  |  9  8  |  6  2  | 16  1  |  4 11  |
| 12 13  |  6  9  |  1  2  | 18  3  |  5 11  | 14 10  | 15  4  |  8 17  |  7 16  |
|  7  1  | 10 15  |  6 12  |  8 16  | 18 17  | 13 11  | 14  3  |  5  4  |  9  2  |
| 11  2  |  7 13  | 16  9  |  1  4  | 12 15  | 17 18  | 10  8  |  3 14  |  5  6  |
| 18 14  |  2  8  |  4 13  |  6  7  |  1  3  | 16 12  | 17  5  |  9 11  | 10 15  |
| 15  9  | 11  5  |  8 17  | 14 10  | 16  4  |  6  1  | 12 18  |  2  7  |  3 13  |
| 17  4  |  1 16  | 14 10  | 12  5  |  2  6  |  3  7  |  9 11  | 15 13  | 18  8  |
|  3 16  | 14  4  | 18  5  |  9 11  |  7  8  |  2 15  | 13  1  |  6 10  | 12 17  |
----------------------------------------------------------------------------------------------------
