----------------------------------------------------------------------------------------------------
|  9  8  |  1 18  | 10 12  | 14  7  | 15 11  |  6 17  |  5 16  |  4  2  | 13  3  |
|  4 11  |  2 15  |  9  7  | 12 18  |  6  5  | 14 13  | 17  8  |  1  3  | 16 10  |
| 15 14  | 17 11  |  1  6  |  4 13  |  7 18  | 10 16  | 12  3  |  5  8  |  2  9  |
| 18 10  |  4  5  |  2 17  | 15  8  | 12 13  | 11  3  |  6 14  | 16  9  |  1  7  |
|  3 17  |  8 13  |  4 11  |  6  1  | 14 16  |  5  2  | 10  9  | 12  7  | 18 15  |
|  7  1  |  9 12  | 15  8  | 17 16  |  2  3  | 18  4  | 13 11  |  6 10  |  5 14  |
| 12  6  | 10 14  | 13 16  |  3  5  | 17  4  |  7  9  |  1  2  | 18 15  |  8 11  |
|  5  2  |  3 16  | 14 18  |  9 11  |  1 10  | 15  8  |  4  7  | 17 13  |  6 12  |
| 16 13  |  6  7  |  5  3  | 10  2  |  8  9  |  1 12  | 15 18  | 11 14  |  4 17  |
----------------------------------------------------------------------------------------------------
| 17  4  | 18  1  | 16  5  |  7  6  | 11 15  | 13 14  |  2 10  |  9 12  |  3  8  |
| 10 18  | 12 17  |  8  4  |  2  9  |  3  7  | 16 15  | 14  6  | 13  1  | 11  5  |
|  1  9  | 15 10  | 12  2  | 11  3  |  5 14  |  4 18  |  7 13  |  8 16  | 17  6  |
|  8  7  | 11  4  | 17  1  | 16 12  | 10  2  |  3  5  | 18 15  | 14  6  |  9 13  |
| 14  3  |  7  2  | 11 10  |  5 17  | 13  1  |  9  6  |  8  4  | 15 18  | 12 16  |
|  2  5  | 14  6  |  7 13  |  8 10  | 16 17  | 12 11  |  9  1  |  3  4  | 15 18  |
| 11 16  |  5  9  |  6 15  | 13  4  | 18  8  |  2 10  |  3 12  |  7 17  | 14  1  |
| 13 12  | 16  3  | 18 14  |  1 15  |  9  6  |  8  7  | 11 17  |  2  5  | 10  4  |
|  6 15  | 13  8  |  3  9  | 18 14  |  4 12  | 17  1  | 16  5  | 10 11  |  7  2  |
----------------------------------------------------------------------------------------------------
