----------------------------------------------------------------------------------------------------
|  9  4  | 18  1  |  2 17  |  3  8  | 13 15  |  5 16  | 12  6  | 14  7  | 10 11  |
| 16 12  | 15 17  |  7  5  |  1 13  | 11 18  |  3  8  |  4  9  |  6 10  | 14  2  |
| 15  1  | 11  9  |  8  4  |  2 17  | 14 12  | 18 13  | 10  7  |  3 16  |  6  5  |
| 17 13  |  4  8  |  9 15  |  7 11  |  2  1  | 10  6  | 16 14  | 18  5  | 12  3  |
| 10  2  |  7  3  | 18 11  |  9 15  | 17  6  | 12 14  |  5 13  |  4  8  | 16  1  |
| 18 11  |  5  6  |  1 12  | 14 16  |  8 10  |  7  4  |  3 17  | 13  2  | 15  9  |
|  6  8  | 12 14  | 13 16  |  4 10  |  5  3  | 17  9  |  2  1  | 15 11  |  7 18  |
| 14  3  | 13  2  |  6 10  | 18  5  | 16  7  | 15  1  |  8 11  | 12  9  |  4 17  |
|  7  5  | 10 16  |  3 14  | 12  6  |  4  9  |  2 11  | 15 18  | 17  1  | 13  8  |
----------------------------------------------------------------------------------------------------
|  8  6  | 16 15  |  4  3  |  5 12  | 10 17  | 14 18  |  9  2  |  1 13  | 11  7  |
| 11 15  | 17  5  | 12 13  |  6 18  |  7 14  |  4  2  |  1 16  |  9  3  |  8 10  |
| 12  7  |  3 10  | 17  8  | 16 14  | 15  2  |  9  5  | 18  4  | 11  6  |  1 13  |
|  4  9  |  1  7  | 15 18  | 17  3  |  6  8  | 13 10  | 11  5  | 16 14  |  2 12  |
| 13 18  |  2 11  | 16  7  | 10  1  |  9  5  |  6 17  | 14 15  |  8 12  |  3  4  |
|  5 16  |  9 13  | 14  1  | 15  4  | 12 11  |  8  3  |  7 10  |  2 18  | 17  6  |
|  2 17  |  6 18  | 11  9  |  8  7  |  1  4  | 16 12  | 13  3  | 10 15  |  5 14  |
|  3 10  | 14 12  |  5  6  | 11  2  | 18 13  |  1 15  | 17  8  |  7  4  |  9 16  |
|  1 14  |  8  4  | 10  2  | 13  9  |  3 16  | 11  7  |  6 12  |  5 17  | 18 15  |
----------------------------------------------------------------------------------------------------
