----------------------------------------------------------------------------------------------------
|  8 11  | 10 14  | 15 12  |  4  2  |  3 18  |  5 16  |  6  9  | 17 13  |  1  7  |
| 16 15  |  5  8  | 10  7  | 11  1  | 12 13  |  9  2  | 17 14  |  6  3  |  4 18  |
| 13  2  | 18  3  |  8 17  | 10 15  |  7 14  | 12  6  | 16  1  |  4 11  |  5  9  |
| 17  5  |  2  6  |  3 16  |  8  7  |  1 15  | 13 10  | 12  4  |  9 18  | 11 14  |
|  1  3  | 12 11  |  2  4  | 16 14  | 10  9  | 15 17  | 13 18  |  7  5  |  6  8  |
|  7 14  |  9  1  | 11 18  | 12  3  |  6  5  |  4  8  | 15  2  | 16 10  | 13 17  |
|  6 12  | 15  7  | 13 14  | 17  9  | 16  4  | 18  1  |  5 11  |  2  8  |  3 10  |
| 10  9  | 16  4  |  5  6  | 13 18  |  2 17  | 11  7  |  8  3  |  1 14  | 15 12  |
|  4 18  | 13 17  |  1  9  |  5  6  | 11  8  |  3 14  | 10  7  | 15 12  | 16  2  |
----------------------------------------------------------------------------------------------------
|  3 17  |  7  2  | 14 11  |  1 16  | 15  6  | 10 18  |  4 13  |  8  9  | 12  5  |
|  9 16  | 11  5  | 17 15  |  2 10  |  8  1  |  6  3  |  7 12  | 18  4  | 14 13  |
| 12  1  |  4 13  |  7  8  |  9 17  | 14  2  | 16 15  | 11 10  |  5  6  | 18  3  |
| 15 13  |  8 16  |  9  1  | 14  4  | 18 11  |  2  5  |  3 17  | 12  7  | 10  6  |
|  2 10  | 17 15  | 18  5  |  7 12  |  9  3  |  1  4  | 14  6  | 13 16  |  8 11  |
| 14  6  |  3  9  | 12  2  | 15  5  | 13 16  | 17 11  | 18  8  | 10  1  |  7  4  |
| 11  8  | 14 18  |  4 10  |  6 13  | 17 12  |  7  9  |  1  5  |  3 15  |  2 16  |
| 18  4  |  6 10  | 16 13  |  3 11  |  5  7  |  8 12  |  9 15  | 14  2  | 17  1  |
|  5  7  |  1 12  |  6  3  | 18  8  |  4 10  | 14 13  |  2 16  | 11 17  |  9 15  |
----------------------------------------------------------------------------------------------------
