----------------------------------------------------------------------------------------------------
|  9  6  |  3  2  | 17 13  | 12 14  | 11 15  | 16 18  | 10  8  |  5  1  |  4  7  |
| 11 17  |  4  7  |  6 10  | 13  1  |  5 12  | 15  8  |  9  3  | 16 14  |  2 18  |
| 16  7  | 11  5  | 15  3  |  4 17  | 13  2  | 12 10  |  6 14  |  9 18  |  1  8  |
|  3 18  |  1 17  |  9  2  |  6 10  |  7  8  | 13 14  |  4 16  | 11 12  |  5 15  |
|  2  8  | 18 13  | 11  7  |  9 16  | 14 10  |  5  6  | 15  1  |  4  3  | 17 12  |
|  5  1  |  8 15  | 18 12  | 11  2  |  3 17  |  9  4  | 13  7  | 10  6  | 14 16  |
| 10 12  | 16  9  |  5 14  | 15  3  |  4  6  |  1  7  | 18 17  |  8  2  | 11 13  |
| 13  4  | 10 14  |  1 16  |  5  8  |  9 18  | 17  2  | 12 11  | 15  7  |  6  3  |
| 15 14  |  6 12  |  8  4  | 18  7  |  1 16  |  3 11  |  5  2  | 13 17  |  9 10  |
----------------------------------------------------------------------------------------------------
| 18 13  | 14 16  | 10 17  |  7 11  | 12  9  |  8  5  |  1 15  |  6  4  |  3  2  |
| 17 16  | 13  3  | 12  1  |  2 15  |  6  4  |  7  9  | 14  5  | 18 10  |  8 11  |
|  6  2  | 12  4  | 14  5  |  3 18  | 15  7  | 11 17  |  8 10  |  1 16  | 13  9  |
|  8 11  | 17 10  | 13  6  | 14 12  | 18  5  |  4  3  |  7  9  |  2 15  | 16  1  |
|  1  5  |  7 18  |  4 15  | 10 13  |  8 14  |  2 16  | 11  6  |  3  9  | 12 17  |
|  7 15  |  2  6  |  3 11  |  1  9  | 10 13  | 14 12  | 16  4  | 17  8  | 18  5  |
| 14  3  | 15  8  |  7  9  | 16  4  |  2 11  | 18  1  | 17 13  | 12  5  | 10  6  |
|  4  9  |  5  1  | 16 18  |  8  6  | 17  3  | 10 13  |  2 12  |  7 11  | 15 14  |
| 12 10  |  9 11  |  2  8  | 17  5  | 16  1  |  6 15  |  3 18  | 14 13  |  7  4  |
----------------------------------------------------------------------------------------------------
