----------------------------------------------------------------------------------------------------
|  6 15  | 18 14  |  9 11  |  8 12  |  1 17  |  7 16  |  5 13  |  2 10  |  3  4  |
| 17  7  |  6 15  | 18  5  |  4 10  |  2 16  |  1  8  |  9 12  | 11  3  | 13 14  |
| 16 18  | 17  4  | 15  2  |  6 13  |  3 10  |  5 11  |  8  7  | 14 12  |  1  9  |
|  4  9  | 12  7  |  1  8  |  5 18  | 11 13  |  2 17  | 14  3  | 16  6  | 15 10  |
|  5 10  |  9  3  |  4  6  |  1 11  |  7 14  | 13 12  | 16  2  | 17 15  | 18  8  |
| 13 14  | 16  5  |  7 12  | 15  2  | 18  9  |  4  3  | 11 10  |  8  1  |  6 17  |
|  1 12  |  2 13  | 17 14  |  9  3  |  8  5  | 10 18  |  6 15  |  7  4  | 11 16  |
|  3  2  | 11  8  | 16 10  |  7 14  |  4  6  |  9 15  |  1 17  | 13 18  | 12  5  |
| 11  8  | 10  1  |  3 13  | 16 17  | 15 12  |  6 14  | 18  4  |  9  5  |  7  2  |
----------------------------------------------------------------------------------------------------
| 14 17  |  5  9  |  8 15  |  3 16  | 13  2  | 12 10  |  7  1  | 18 11  |  4  6  |
| 10  5  | 14 12  |  2  4  | 18 15  | 17  8  |  3  1  | 13 11  |  6  9  | 16  7  |
|  9  6  |  8 11  |  5 16  | 14  4  | 10  7  | 15 13  |  3 18  |  1 17  |  2 12  |
|  8  1  |  7 17  | 13  9  |  2  5  | 16 15  | 18  4  | 12  6  |  3 14  | 10 11  |
| 18 16  | 15  6  | 14  1  | 11  8  | 12  4  | 17  7  |  2  9  | 10 13  |  5  3  |
| 15 13  |  3 16  |  6  7  | 10  1  | 14 11  |  8  9  |  4  5  | 12  2  | 17 18  |
|  2 11  | 13 10  | 12  3  | 17  7  |  5 18  | 14  6  | 15  8  |  4 16  |  9  1  |
|  7  3  |  4  2  | 10 18  | 12  9  |  6  1  | 11  5  | 17 16  | 15  8  | 14 13  |
| 12  4  |  1 18  | 11 17  | 13  6  |  9  3  | 16  2  | 10 14  |  5  7  |  8 15  |
----------------------------------------------------------------------------------------------------
