----------------------------------------------------------------------------------------------------
|  7 11  | 13 10  |  9 12  |  4  3  | 17 18  | 16  8  |  6  5  | 14  1  |  2 15  |
| 12  2  | 11  7  | 16  6  |  5 15  |  3  8  | 14  9  | 10 18  | 17 13  |  1  4  |
|  9 16  | 12  6  |  7 11  |  1 17  |  2  5  |  3  4  | 14  8  | 10 15  | 13 18  |
| 14  1  |  4  5  | 10  2  | 12  6  |  9 11  |  7 17  | 13 15  |  8 18  | 16  3  |
|  3 18  | 16  8  |  5 13  | 11 10  |  6  1  | 12 15  |  9  2  |  7  4  | 14 17  |
|  8  5  |  2  1  |  4 15  | 13 16  | 12 14  | 11 18  | 17  7  |  9  3  |  6 10  |
| 13  4  | 18 17  |  8  1  |  7 14  | 10 15  |  5  6  |  3 12  | 16  2  |  9 11  |
| 17 10  |  3 15  | 18 14  |  8  9  |  7 16  | 13  2  |  4  1  |  6 11  | 12  5  |
|  6 15  | 14  9  |  3 17  | 18  2  | 13  4  |  1 10  | 16 11  |  5 12  |  8  7  |
----------------------------------------------------------------------------------------------------
|  2 14  |  6 13  | 15  3  | 16 18  |  8 12  | 17  7  | 11  4  |  1  5  | 10  9  |
| 18 13  | 17  2  |  1 10  |  9  8  | 14  6  |  4  5  |  7  3  | 15 16  | 11 12  |
| 11  9  | 10 16  |  6  5  | 15  1  | 18  3  |  8 14  | 12 13  |  4  7  | 17  2  |
| 16  7  |  5 18  | 13  4  |  3 11  |  1 17  |  6 12  |  8  9  |  2 10  | 15 14  |
| 10  6  |  1 12  | 17  7  | 14  4  | 11 13  | 15  3  |  2 16  | 18  9  |  5  8  |
|  1 17  |  8 11  | 12 18  | 10  7  |  5  9  |  2 13  | 15  6  |  3 14  |  4 16  |
| 15  3  |  9 14  | 11 16  |  2 12  |  4 10  | 18  1  |  5 17  | 13  8  |  7  6  |
|  5 12  |  7  4  | 14  8  |  6 13  | 15  2  |  9 16  | 18 10  | 11 17  |  3  1  |
|  4  8  | 15  3  |  2  9  | 17  5  | 16  7  | 10 11  |  1 14  | 12  6  | 18 13  |
----------------------------------------------------------------------------------------------------
