----------------------------------------------------------------------------------------------------
| 18 10  |  9  2  | 11 15  |  7  5  | 16 14  | 12 17  |  3  1  |  4  8  | 13  6  |
|  2  8  | 18  3  | 10 12  |  9 15  |  7  5  | 16  4  | 14 13  |  1  6  | 11 17  |
|  6 14  | 13  7  |  2  3  | 11 16  | 15  9  |  5  1  | 12  4  | 10 17  |  8 18  |
| 12  7  | 10  6  | 16 18  | 14  3  |  2  8  |  9 15  |  5 17  | 13 11  |  4  1  |
| 17  3  |  1 16  |  6  9  | 10 18  |  4 12  | 11 13  |  7  8  | 14  5  |  2 15  |
| 15  4  | 17 11  |  7 14  |  2 12  | 13  1  |  8  3  | 16  6  | 18  9  |  5 10  |
|  1  5  | 12 14  | 17  8  | 13  4  |  3 11  |  7  6  | 18 10  | 15  2  |  9 16  |
| 13 11  |  8 15  |  5  4  |  6  1  | 18 17  | 14 10  |  9  2  |  3 16  |  7 12  |
| 16  9  |  5  4  | 13  1  | 17  8  | 10  6  |  2 18  | 11 15  | 12  7  | 14  3  |
----------------------------------------------------------------------------------------------------
|  5 13  |  7  1  |  9 11  |  3 14  | 17  2  | 15  8  | 10 18  |  6 12  | 16  4  |
| 14  6  | 15 13  | 18  7  | 12 17  |  8  4  |  1 11  |  2  9  | 16  3  | 10  5  |
| 11 15  |  6  8  |  1 13  | 16  9  | 12  7  | 17  2  |  4  3  |  5 10  | 18 14  |
|  9 17  | 14 12  |  3  2  | 18 11  |  6 16  | 10  7  | 15  5  |  8  4  |  1 13  |
|  4 18  |  2 17  | 15  5  |  8 13  | 11 10  |  6 12  |  1 16  |  7 14  |  3  9  |
|  8  1  |  4 18  | 14 17  |  5 10  |  9  3  | 13 16  |  6  7  | 11 15  | 12  2  |
|  7  2  |  3 10  |  8 16  | 15  6  | 14 18  |  4  5  | 13 12  |  9  1  | 17 11  |
| 10 12  | 16  9  |  4  6  |  1  2  |  5 13  |  3 14  |  8 11  | 17 18  | 15  7  |
|  3 16  | 11  5  | 12 10  |  4  7  |  1 15  | 18  9  | 17 14  |  2 13  |  6  8  |
----------------------------------------------------------------------------------------------------
