----------------------------------------------------------------------------------------------------
|  5  3  |  7  8  |  4 18  | 17 11  | 14 13  | 10 16  |  6  1  |  9 12  |  2 15  |
|  8  2  | 16 14  |  3 11  | 18  4  |  9  7  | 13 17  | 12  5  |  1 15  | 10  6  |
|  4  1  |  2 11  |  8 12  |  6  9  | 16 10  | 14  5  | 13 15  |  7  3  | 18 17  |
| 10 18  | 13  3  | 15  9  |  8  7  | 11  4  | 12  2  | 17 16  | 14  6  |  1  5  |
| 14  9  | 18 15  |  2  7  | 13 12  |  8  1  | 11  6  | 10  3  |  5 17  |  4 16  |
|  6 15  |  5  9  | 16 10  |  3  2  | 18 17  |  1  7  | 14 11  | 13  4  |  8 12  |
| 17 12  | 10  1  | 14 13  | 15 16  |  5  6  |  9  4  |  7  8  | 18  2  |  3 11  |
| 11  7  | 17 12  |  5  6  | 14  1  |  2 15  |  8  3  |  4 18  | 16 10  | 13  9  |
| 16 13  |  4  6  | 17  1  |  5 10  | 12  3  | 18 15  |  9  2  | 11  8  | 14  7  |
----------------------------------------------------------------------------------------------------
| 18  6  | 11 17  |  9  5  |  4 14  |  3 12  |  7 10  | 15 13  |  8  1  | 16  2  |
| 12  5  |  6  2  | 11 15  | 10  3  |  7 18  |  4  1  |  8 14  | 17 16  |  9 13  |
|  1 16  | 12  7  |  6  2  | 11 13  |  4  9  |  3 14  |  5 10  | 15 18  | 17  8  |
|  7 10  |  8  5  |  1 17  |  9  6  | 15 16  |  2 11  | 18  4  |  3 13  | 12 14  |
| 13 11  | 15 18  |  7 16  | 12  8  | 10  2  |  5  9  |  1 17  |  4 14  |  6  3  |
|  2  4  |  3 10  | 12 14  |  7 15  |  1  8  | 17 13  | 16  9  |  6  5  | 11 18  |
|  9  8  | 14  4  | 10  3  |  2 17  | 13  5  | 16 18  | 11  6  | 12  7  | 15  1  |
|  3 17  |  9 16  | 13  8  |  1 18  |  6 14  | 15 12  |  2  7  | 10 11  |  5  4  |
| 15 14  |  1 13  | 18  4  | 16  5  | 17 11  |  6  8  |  3 12  |  2  9  |  7 10  |
----------------------------------------------------------------------------------------------------
