----------------------------------------------------------------------------------------------------
|  3 18  | 13  1  |  8 12  | 15 17  |  4 10  |  7  2  | 16  5  | 14  6  | 11  9  |
| 13 12  | 18  3  |  5  7  |  1  6  |  2 14  | 11  4  | 10 15  | 16  9  |  8 17  |
|  1  8  |  5 10  |  9 18  | 14 12  | 15 17  | 13 16  |  2  7  |  4 11  |  6  3  |
| 15  6  | 16 14  | 13 11  |  7 18  |  1  8  |  9 10  | 12  4  |  3 17  |  2  5  |
|  2 14  |  4  8  |  1 10  | 11  9  | 18  3  |  5 17  | 13  6  | 15  7  | 16 12  |
|  4 16  | 12  2  | 15  6  |  8  3  | 13 11  | 18  1  | 17  9  | 10  5  |  7 14  |
| 11  7  |  6 17  |  2 14  | 13 16  |  9  5  | 15  3  | 18  1  |  8 12  |  4 10  |
| 17  9  | 15 11  |  4 16  | 10  5  |  6  7  |  8 12  |  3 14  | 13  2  |  1 18  |
|  5 10  |  7  9  |  3 17  |  4  2  | 12 16  | 14  6  |  8 11  |  1 18  | 13 15  |
----------------------------------------------------------------------------------------------------
|  9  3  |  2 13  | 12  1  |  6  7  |  5 15  | 16 14  | 11 18  | 17  8  | 10  4  |
| 12 15  |  3  5  |  6 13  |  9  4  | 16  1  |  2  8  | 14 17  | 11 10  | 18  7  |
| 16  1  | 14 15  | 17  2  | 12 13  | 11  6  |  4 18  |  7 10  |  5  3  |  9  8  |
|  8  4  |  1 18  | 16  3  |  2 15  | 14  9  | 10 11  |  5 12  |  7 13  | 17  6  |
|  6 13  | 10 16  |  7  5  |  3  1  |  8  4  | 17  9  | 15  2  | 18 14  | 12 11  |
| 18 17  |  9 12  | 14 15  | 16 11  | 10  2  |  3  7  |  4  8  |  6  1  |  5 13  |
| 14  2  |  8  6  | 11  4  | 17 10  |  7 18  |  1  5  |  9 13  | 12 15  |  3 16  |
| 10 11  | 17  7  | 18  8  |  5 14  |  3 12  |  6 13  |  1 16  |  9  4  | 15  2  |
|  7  5  | 11  4  | 10  9  | 18  8  | 17 13  | 12 15  |  6  3  |  2 16  | 14  1  |
----------------------------------------------------------------------------------------------------
