----------------------------------------------------------------------------------------------------
|  1  7  |  2 15  |  6  9  | 10 12  |  8  5  | 17  3  | 11  4  | 16 13  | 18 14  |
|  8  4  | 13  3  |  2 12  |  6  7  |  9 10  |  1 11  | 17 18  | 15 14  | 16  5  |
|  2  6  | 17  7  | 18  5  |  9  4  | 11 15  | 10  8  | 14 16  | 12  3  | 13  1  |
| 13 18  |  8  9  | 17  7  |  3  2  |  6  4  | 14 16  | 10  1  | 11  5  | 12 15  |
|  5 10  | 11 16  |  8  3  | 15 17  |  2 14  |  4 18  | 12 13  |  1  9  |  7  6  |
| 14 15  | 18  6  | 13  1  |  8  5  |  3 16  | 12  2  |  9  7  | 10  4  | 11 17  |
| 16  9  |  4  5  | 15 14  | 11 13  | 12  1  |  6  7  |  2  8  | 17 18  | 10  3  |
|  3 17  | 14 12  | 10 11  |  1 16  | 13 18  |  9 15  |  6  5  |  2  7  |  4  8  |
| 12 11  |  1 10  | 16  4  | 18 14  |  7 17  | 13  5  | 15  3  |  8  6  |  2  9  |
----------------------------------------------------------------------------------------------------
| 10 12  |  7 11  |  9 13  | 16  3  | 14  2  |  5  1  |  8 15  | 18 17  |  6  4  |
|  6  5  | 16 13  |  3 17  |  2  1  | 18  7  | 11 14  |  4 10  |  9  8  | 15 12  |
| 17  3  | 10 18  |  5 16  |  7  9  | 15 12  |  2  6  |  1 14  |  4 11  |  8 13  |
| 15 14  | 12  1  | 11  6  | 13 10  |  5  3  |  8  4  | 16 17  |  7  2  |  9 18  |
| 18  1  |  6  2  | 14  8  | 17 11  |  4 13  | 15 12  |  7  9  |  5 16  |  3 10  |
|  7  8  | 15  4  | 12 10  |  5  6  | 16  9  |  3 17  | 18  2  | 13  1  | 14 11  |
|  9  2  |  3 17  |  7 15  |  4  8  | 10 11  | 18 13  |  5  6  | 14 12  |  1 16  |
| 11 16  |  5  8  |  4 18  | 14 15  |  1  6  |  7  9  | 13 12  |  3 10  | 17  2  |
|  4 13  |  9 14  |  1  2  | 12 18  | 17  8  | 16 10  |  3 11  |  6 15  |  5  7  |
----------------------------------------------------------------------------------------------------
