----------------------------------------------------------------------------------------------------
| 17  3  |  1 15  | 16  8  |  4 13  |  7 11  |  2  6  |  9 12  |  5 14  | 10 18  |
| 13  2  |  3 12  |  6  4  |  9 17  | 14  1  |  5 10  | 16  7  | 11 18  | 15  8  |
| 10 11  | 16 18  |  5 17  |  1 14  |  8 12  |  3  4  |  6 13  |  7 15  |  2  9  |
| 15 14  | 13  5  |  3 11  | 12  2  | 17 16  |  8 18  | 10  4  |  6  9  |  7  1  |
|  7  5  | 17  6  | 10  1  |  3 18  |  9 13  | 14 11  | 15  8  | 12  2  | 16  4  |
|  1 18  |  2  4  | 15  9  |  6  5  | 10  3  |  7 12  | 17 11  |  8 16  | 14 13  |
|  9 12  | 11 10  |  2 18  |  7  8  |  5  4  | 15 16  |  3 14  | 13  1  |  6 17  |
|  8 16  | 14  7  | 12 13  | 15 10  |  2  6  | 17  9  | 18  1  |  4  3  | 11  5  |
|  6  4  |  8  9  |  7 14  | 11 16  | 18 15  | 13  1  |  5  2  | 10 17  | 12  3  |
----------------------------------------------------------------------------------------------------
| 16  1  |  7 11  | 18 12  | 13 15  |  3 14  | 10  8  |  4  5  |  9  6  | 17  2  |
| 14 10  |  9  1  | 11  7  |  5  4  | 16  2  | 12 15  |  8 17  | 18 13  |  3  6  |
| 11  8  | 10  2  | 14  3  | 18 12  | 13  5  | 16 17  |  1  6  | 15  4  |  9  7  |
| 12  9  |  6 13  |  4  5  | 14 11  | 15 18  |  1  7  |  2  3  | 17 10  |  8 16  |
|  2 13  |  5  3  |  8  6  | 16  7  |  4 17  |  9 14  | 12 15  |  1 11  | 18 10  |
|  3 15  |  4 14  |  9  2  | 17  6  | 12  8  | 18 13  |  7 10  | 16  5  |  1 11  |
| 18 17  | 15 16  |  1 10  |  2  3  |  6  7  |  4  5  | 11  9  | 14  8  | 13 12  |
|  5  7  | 18  8  | 17 15  | 10  1  | 11  9  |  6  2  | 13 16  |  3 12  |  4 14  |
|  4  6  | 12 17  | 13 16  |  8  9  |  1 10  | 11  3  | 14 18  |  2  7  |  5 15  |
----------------------------------------------------------------------------------------------------
