----------------------------------------------------------------------------------------------------
| 18 11  |  1 17  |  4  3  | 16  6  |  9 12  | 10 13  | 14  5  |  2 15  |  7  8  |
|  7  2  | 11 12  | 17 10  |  5 18  |  6  1  | 16  8  | 13  3  |  9 14  | 15  4  |
|  8  5  |  6  9  | 16  2  | 17  4  | 11 18  | 12 14  | 10 15  | 13  7  |  3  1  |
| 16 17  |  8  5  |  6 11  | 15 14  |  2  7  |  9  1  | 12  4  |  3 18  | 13 10  |
|  9 13  |  7 10  |  8 15  | 11  3  | 16  4  |  6 17  |  1  2  |  5 12  | 14 18  |
|  1 15  | 18 13  |  7 14  |  2 10  | 17  8  |  4  3  | 16  9  |  6 11  | 12  5  |
| 12  4  |  2 15  |  5  1  |  8 13  | 14  3  | 18 11  |  6  7  | 16 10  |  9 17  |
|  6  3  | 14  4  | 12 18  |  7  9  | 13 10  |  5 15  | 11 17  |  1  8  | 16  2  |
| 14 10  |  3 16  | 13  9  |  1 12  | 15  5  |  2  7  |  8 18  | 17  4  |  6 11  |
----------------------------------------------------------------------------------------------------
|  4  9  | 12  8  | 11  6  | 13  7  |  1  2  | 17 18  |  5 14  | 15 16  | 10  3  |
|  3  6  | 10  2  | 15  4  | 12 17  |  8 11  |  7  9  | 18 16  | 14  5  |  1 13  |
|  5 12  | 13  1  | 14  8  | 18 16  |  3  6  | 11  2  |  7 10  |  4  9  | 17 15  |
| 10  8  |  5 11  | 18 13  |  9  1  | 12 15  |  3 16  |  2  6  |  7 17  |  4 14  |
| 17  1  |  4 18  |  2 16  |  3  8  |  5  9  | 14 12  | 15 13  | 10  6  | 11  7  |
|  2  7  | 17  3  |  1  5  |  4 15  | 10 14  |  8  6  |  9 11  | 12 13  | 18 16  |
| 13 18  | 15  6  |  3  7  | 14  5  |  4 16  |  1 10  | 17 12  | 11  2  |  8  9  |
| 15 14  | 16  7  |  9 12  | 10 11  | 18 17  | 13  5  |  4  1  |  8  3  |  2  6  |
| 11 16  |  9 14  | 10 17  |  6  2  |  7 13  | 15  4  |  3  8  | 18  1  |  5 12  |
----------------------------------------------------------------------------------------------------
