----------------------------------------------------------------------------------------------------
| 18 17  | 10 12  | 14  4  | 13  2  |  3  7  |  9 15  | 11  8  |  5  6  |  1 16  |
|  3 16  | 18 13  |  1 12  | 10  4  | 11  6  |  8  7  | 17  9  |  2 15  |  5 14  |
| 12  9  | 16  2  | 11  6  | 15  3  |  8 18  |  1 13  | 14  5  | 17  7  |  4 10  |
|  2  8  |  1 17  | 18 13  | 12  6  |  5  9  | 11  3  | 10 16  | 14  4  | 15  7  |
| 10 13  |  8  6  |  2  9  |  1 14  | 15  4  | 17  5  |  3  7  | 11 16  | 18 12  |
|  6 14  |  9 11  |  8 10  |  7  5  | 17  1  |  4 16  | 15 13  | 12 18  |  2  3  |
|  1  7  | 14 15  |  3  5  | 17 11  | 13 16  |  2 12  |  4 18  |  8 10  |  6  9  |
|  4 11  |  7  5  | 16 15  | 18  9  |  2 12  | 10 14  |  1  6  |  3 13  |  8 17  |
| 15  5  |  4  3  |  7 17  |  8 16  | 14 10  |  6 18  |  2 12  |  1  9  | 13 11  |
----------------------------------------------------------------------------------------------------
| 17  3  | 11  8  | 13  7  |  2 12  |  9 14  | 18  4  |  5 10  | 15  1  | 16  6  |
|  7  1  | 17  4  | 12  3  |  9 18  | 16 15  | 14  6  | 13  2  | 10  8  | 11  5  |
|  8  2  | 12  7  | 17  1  |  5 13  |  4  3  | 15  9  |  6 14  | 16 11  | 10 18  |
| 16 18  |  3  9  |  6  8  | 11  7  |  1 13  |  5 10  | 12 15  |  4 14  | 17  2  |
| 11 12  | 15 16  | 10  2  |  3  8  |  6 17  |  7  1  |  9  4  | 18  5  | 14 13  |
| 14  6  |  2 18  | 15 16  |  4 10  | 12  5  |  3 11  |  7  1  | 13 17  |  9  8  |
|  5 10  |  6  1  |  4 18  | 14 17  |  7  8  | 13  2  | 16 11  |  9 12  |  3 15  |
|  9 15  | 13 14  |  5 11  | 16  1  | 10  2  | 12  8  | 18 17  |  6  3  |  7  4  |
| 13  4  |  5 10  |  9 14  |  6 15  | 18 11  | 16 17  |  8  3  |  7  2  | 12  1  |
----------------------------------------------------------------------------------------------------
