----------------------------------------------------------------------------------------------------
|  9  4  | 13  5  |  3 11  |  8 10  |  7 14  | 15 16  | 17 12  |  1  6  |  2 18  |
|  6  5  |  4 11  | 13 17  | 14 12  |  1  9  |  8 10  | 15 18  |  3  2  | 16  7  |
| 10 16  |  1  9  |  6  4  | 11 13  | 18  8  |  7  2  | 14  3  | 15 12  |  5 17  |
| 15  1  |  8  7  | 18 16  | 17  4  | 11 13  | 14  5  |  2  6  |  9 10  |  3 12  |
| 13  3  | 10 17  | 12  8  |  1  6  |  4  2  |  9 11  |  7  5  | 16 18  | 15 14  |
|  2 11  | 18 12  |  1  7  | 16  3  |  6 15  |  4 17  |  9  8  | 14  5  | 10 13  |
| 18 17  | 15  6  |  2 14  |  7  5  | 16 10  |  3 12  | 11  4  |  8 13  |  9  1  |
| 14 12  |  3 16  | 10 15  |  2  9  | 17  5  |  6 18  |  1 13  |  4  7  |  8 11  |
|  8  7  | 14  2  |  9  5  | 18 15  |  3 12  |  1 13  | 16 10  | 11 17  |  4  6  |
----------------------------------------------------------------------------------------------------
| 16 14  | 11 15  |  4 13  |  6 18  |  9  1  |  2  7  |  3 17  |  5  8  | 12 10  |
|  1 13  |  7 14  |  8 12  |  5 11  | 10  6  | 16  4  | 18 15  |  2  3  | 17  9  |
| 17  2  |  6 13  | 14  1  |  9  7  | 12 11  |  5  3  |  8 16  | 10  4  | 18 15  |
|  5  9  | 16 10  | 17  3  | 15  2  |  8 18  | 12 14  |  6 11  | 13  1  |  7  4  |
|  7 15  | 17 18  | 11  9  | 13  1  |  5  3  | 10  6  |  4  2  | 12 16  | 14  8  |
|  4 10  |  5  8  | 15  2  |  3 14  | 13  7  | 17  9  | 12  1  | 18 11  |  6 16  |
| 11  6  | 12  4  |  7 18  | 10  8  |  2 16  | 13 15  |  5  9  | 17 14  |  1  3  |
| 12  8  |  9  3  |  5 10  |  4 16  | 14 17  | 18  1  | 13  7  |  6 15  | 11  2  |
|  3 18  |  2  1  | 16  6  | 12 17  | 15  4  | 11  8  | 10 14  |  7  9  | 13  5  |
----------------------------------------------------------------------------------------------------
