----------------------------------------------------------------------------------------------------
|  2 12  | 14 15  | 16 18  |  7  5  |  6 10  |  9 13  | 11 17  |  3  8  |  4  1  |
| 14  1  | 12  2  |  9 10  | 16 15  |  7  4  | 17  3  | 13  8  | 11  6  |  5 18  |
|  6 13  |  1 16  | 14 15  | 18  9  |  8  2  | 10  5  |  4  7  | 12 17  | 11  3  |
| 16  7  | 13 17  |  4  2  | 14 10  |  9  1  | 12 11  |  3  5  | 18 15  |  8  6  |
| 11 18  |  8  6  | 12 13  |  3  2  | 14 15  |  1  4  |  9 10  |  5 16  | 17  7  |
|  5 10  |  3  4  |  6  8  | 12 17  | 16 11  |  7 14  |  1 18  |  9 13  | 15  2  |
|  3 15  | 11  5  |  7  1  | 13  8  | 12 17  |  2 18  | 14  6  |  4 10  |  9 16  |
|  9 17  | 10  7  | 11  5  |  1  4  | 18  3  |  6  8  | 15 16  | 14  2  | 13 12  |
|  4  8  |  9 18  |  3 17  |  6 11  |  5 13  | 15 16  | 12  2  |  7  1  | 14 10  |
----------------------------------------------------------------------------------------------------
| 12  6  | 18  3  |  2  9  | 10 14  | 17  8  | 13  1  | 16 11  | 15  5  |  7  4  |
| 17  5  | 16 10  | 13 12  | 11  7  |  2 14  |  8  6  | 18  4  |  1  9  |  3 15  |
|  7 16  |  6  1  | 18 14  |  5 12  | 15  9  | 11 10  |  8  3  | 17  4  |  2 13  |
| 18  2  |  4 12  |  8  6  | 15 13  |  1  7  |  5  9  | 17 14  | 16  3  | 10 11  |
|  1  9  | 17 13  | 15  3  |  4  6  | 10 18  | 14  7  |  5 12  |  2 11  | 16  8  |
| 10 14  |  2  9  | 17  4  |  8  3  | 11 16  | 18 15  |  7  1  | 13 12  |  6  5  |
|  8  4  |  7 11  |  1 16  |  2 18  | 13  5  |  3 17  | 10 15  |  6 14  | 12  9  |
| 15 11  |  5 14  | 10  7  |  9 16  |  3  6  |  4 12  |  2 13  |  8 18  |  1 17  |
| 13  3  | 15  8  |  5 11  | 17  1  |  4 12  | 16  2  |  6  9  | 10  7  | 18 14  |
----------------------------------------------------------------------------------------------------
