----------------------------------------------------------------------------------------------------
| 17  9  | 14  6  |  5 11  |  8  2  | 12 10  | 13 16  |  4  7  | 15  3  |  1 18  |
| 15 12  |  9  5  |  6 18  | 10 14  | 11  7  |  8  4  | 13 17  |  2  1  |  3 16  |
|  1 11  |  4 12  |  9  3  | 13 16  | 14 15  | 10  7  |  6  2  | 17 18  |  8  5  |
|  2 10  | 17 18  | 14  1  | 12 11  | 16  9  | 15  3  |  8  5  |  7 13  |  4  6  |
| 16  4  |  3  8  | 17 10  |  6  7  |  5 18  | 14 11  | 15  1  | 12  9  | 13  2  |
|  6 14  | 11 10  | 12 15  |  1  4  |  2 13  | 17  5  |  3 18  |  8 16  |  7  9  |
|  8  3  | 13 16  |  4  7  | 15  5  |  6  1  | 18  2  | 14  9  | 10 11  | 17 12  |
| 13  7  |  1 15  |  8  2  |  9 18  |  3 17  | 12  6  | 10 16  |  5  4  | 11 14  |
| 18  5  |  7  2  | 16 13  |  3 17  |  8  4  |  9  1  | 12 11  | 14  6  | 10 15  |
----------------------------------------------------------------------------------------------------
|  5 15  |  8  3  | 11 17  |  2 13  |  1 16  |  7 18  |  9  6  |  4 12  | 14 10  |
| 12  2  |  5  1  | 15  4  | 18  8  | 10  3  |  6 13  | 11 14  |  9  7  | 16 17  |
| 14  6  |  2  4  | 18  5  | 16 12  | 13 11  |  1 10  | 17 15  |  3  8  |  9  7  |
| 10 17  | 12 11  |  3 16  |  5  9  | 18  6  |  2  8  |  7  4  | 13 14  | 15  1  |
|  4 13  |  6 17  |  2 12  | 11 10  |  7 14  | 16  9  |  1  8  | 18 15  |  5  3  |
|  9 16  | 15 14  | 13  6  |  7  3  | 17  8  | 11 12  | 18 10  |  1  5  |  2  4  |
| 11 18  | 10  9  |  7  8  | 17  1  | 15 12  |  4 14  |  5  3  | 16  2  |  6 13  |
|  3  8  | 18  7  |  1  9  | 14 15  |  4  2  |  5 17  | 16 13  |  6 10  | 12 11  |
|  7  1  | 16 13  | 10 14  |  4  6  |  9  5  |  3 15  |  2 12  | 11 17  | 18  8  |
----------------------------------------------------------------------------------------------------
