----------------------------------------------------------------------------------------------------
| 15  3  |  8  6  |  7  5  | 16 18  |  1 12  | 10  9  |  2 14  | 11 17  |  4 13  |
| 10 13  | 16 11  | 12  9  |  3  2  | 18 14  |  1  7  |  8 17  |  4 15  |  5  6  |
| 11  9  | 18 13  |  4  3  |  5 15  |  2  7  | 12 14  |  6 16  |  1  8  | 10 17  |
| 14  1  |  9  5  | 11  8  |  6 12  | 16  3  | 18 17  |  4 15  | 10 13  |  2  7  |
|  6 12  | 15 14  |  2 16  |  9  1  |  5 17  |  8  4  | 13 10  |  7  3  | 18 11  |
|  4 17  |  3  7  |  6 10  | 11 13  |  9 15  |  2 16  | 12  1  | 18  5  |  8 14  |
| 16  2  |  1 10  | 15 14  |  8 17  |  4 13  |  5 11  | 18  7  | 12  6  |  9  3  |
|  8 18  | 17  4  | 13  1  | 10  7  | 11  6  |  3 15  |  5  9  | 14  2  | 12 16  |
|  7  5  | 12  2  | 18 17  |  4 14  | 10  8  |  6 13  | 11  3  |  9 16  | 15  1  |
----------------------------------------------------------------------------------------------------
|  2 16  | 14  3  |  1  7  | 13 11  |  6  9  |  4 12  | 10  8  | 15 18  | 17  5  |
|  9 15  |  2 18  | 10  6  | 17  5  | 13 16  |  7  3  | 14 12  |  8 11  |  1  4  |
|  3  6  | 11  9  | 14  2  | 15 16  | 12 18  | 13  5  |  1  4  | 17 10  |  7  8  |
| 18  7  | 13 15  |  9 11  |  2  8  | 14  1  | 16 10  | 17  5  |  6  4  |  3 12  |
|  1 14  |  5 17  |  3 18  | 12  6  | 15  4  | 11  8  |  7 13  |  2  9  | 16 10  |
| 12  4  |  6 16  | 17 15  | 18  9  |  8 10  | 14  1  |  3 11  |  5  7  | 13  2  |
|  5 11  |  7  8  | 16  4  |  1 10  |  3  2  | 17  6  |  9 18  | 13 12  | 14 15  |
| 13  8  | 10  1  |  5 12  |  7  4  | 17 11  | 15 18  | 16  2  |  3 14  |  6  9  |
| 17 10  |  4 12  |  8 13  | 14  3  |  7  5  |  9  2  | 15  6  | 16  1  | 11 18  |
----------------------------------------------------------------------------------------------------
