----------------------------------------------------------------------------------------------------
|  4  5  |  7  6  | 18  2  | 11  9  | 14 16  | 12  3  | 13  1  | 17 10  |  8 15  |
| 18  1  | 15 13  | 17  3  |  2  6  |  5 10  | 16 11  | 12  8  |  4  7  |  9 14  |
| 10  9  |  3 11  | 13  1  | 18 15  |  2  8  |  5 17  |  7 14  |  6 12  |  4 16  |
| 16  7  |  4 10  | 11  6  | 12 17  | 15 18  |  1  2  |  3  9  | 14  8  | 13  5  |
|  2 12  | 16  8  |  7 10  |  1  4  |  9  6  | 18 14  | 17  5  | 13 15  |  3 11  |
| 17 14  |  9 18  |  5 15  |  7 13  | 11  3  |  6  8  |  2  4  |  1 16  | 12 10  |
| 11  6  | 12  5  |  4  8  | 14 10  |  7 17  |  9 13  | 16 15  |  2  3  |  1 18  |
|  3 15  | 17  1  | 16 14  |  5  8  | 12 13  |  7  4  | 10 11  |  9 18  |  2  6  |
| 13  8  | 14  2  | 12  9  |  3 16  |  4  1  | 15 10  | 18  6  | 11  5  |  7 17  |
----------------------------------------------------------------------------------------------------
| 14 13  |  1 16  |  9  4  | 17  5  | 10 15  |  2 18  |  8  7  | 12 11  |  6  3  |
|  5 18  | 13  4  | 15 16  | 10  3  |  1 14  | 17 12  |  6  2  |  7  9  | 11  8  |
| 12 10  |  8  3  | 14  5  |  4  7  | 18  9  | 11 15  |  1 13  | 16  6  | 17  2  |
|  6 17  | 18 12  | 10 11  | 15 14  | 16  7  |  4  1  |  9  3  |  8  2  |  5 13  |
|  7 11  |  5  9  |  8 17  | 13  1  |  6  2  |  3 16  | 15 12  | 18 14  | 10  4  |
|  1  2  | 10 17  |  3 13  |  9 12  |  8 11  | 14  6  |  5 18  | 15  4  | 16  7  |
| 15 16  | 11 14  |  1 12  |  6  2  |  3  5  |  8  7  |  4 17  | 10 13  | 18  9  |
|  9  4  |  2 15  |  6  7  |  8 18  | 13 12  | 10  5  | 11 16  |  3 17  | 14  1  |
|  8  3  |  6  7  |  2 18  | 16 11  | 17  4  | 13  9  | 14 10  |  5  1  | 15 12  |
----------------------------------------------------------------------------------------------------
