----------------------------------------------------------------------------------------------------
|  9 14  |  1 15  |  8 12  | 16  4  | 10  3  |  5  7  |  6 17  | 13 18  | 11  2  |
| 10 11  | 14  2  | 18 13  |  8 12  |  9 16  |  4  1  |  5 15  | 17  3  |  7  6  |
|  1 12  | 18  9  | 14  7  | 15 17  |  8  2  |  3 11  |  4 10  |  6  5  | 13 16  |
|  3  8  | 11  5  |  9 10  | 14 18  |  7 17  |  2  6  | 12 13  |  4 16  |  1 15  |
|  7 15  |  8 13  |  2  6  |  9 10  |  4 14  | 12 18  | 16  3  |  1 11  |  5 17  |
|  4 17  |  3 12  |  1 11  | 13  6  | 18  5  | 14 16  |  9  7  | 15  2  |  8 10  |
|  5  6  |  4  7  |  3 16  |  1 11  | 13 15  |  9 17  | 18  2  |  8 10  | 12 14  |
| 13 18  | 10 16  |  4 17  |  2  5  | 12  6  |  8 15  |  1 11  |  7 14  |  3  9  |
|  2 16  | 17  6  | 15  5  |  3  7  |  1 11  | 10 13  |  8 14  | 12  9  | 18  4  |
----------------------------------------------------------------------------------------------------
| 16  4  | 12 18  |  5  1  |  7 13  | 11 10  | 17 14  | 15  8  |  2  6  |  9  3  |
|  6  7  |  9  4  | 16 18  | 10  3  | 17 12  | 13  2  | 11  1  | 14  8  | 15  5  |
| 11 13  |  6 14  | 17  9  |  4 15  |  5 18  |  7  3  | 10 12  | 16  1  |  2  8  |
| 14  2  |  5  8  |  6  4  | 11  1  | 15  7  | 16 10  |  3  9  | 18 13  | 17 12  |
| 12 10  |  7  3  | 13 14  |  5 16  |  2  4  |  1  8  | 17 18  |  9 15  |  6 11  |
| 18  3  | 16  1  | 12  2  | 17 14  |  6  8  | 15  9  |  7  5  | 11  4  | 10 13  |
| 17  9  | 15 11  | 10  3  | 12  8  | 14 13  | 18  4  |  2  6  |  5  7  | 16  1  |
| 15  5  |  2 10  | 11  8  | 18  9  | 16  1  |  6 12  | 13  4  |  3 17  | 14  7  |
|  8  1  | 13 17  |  7 15  |  6  2  |  3  9  | 11  5  | 14 16  | 10 12  |  4 18  |
----------------------------------------------------------------------------------------------------
