----------------------------------------------------------------------------------------------------
|  8 13  |  3  4  | 18  6  |  2 10  | 15  5  | 12 17  |  1  9  | 16 14  |  7 11  |
| 12 10  | 15 14  |  8 13  |  9 11  |  4  7  |  6  3  | 16  5  | 17 18  |  2  1  |
|  9  1  | 13  8  |  3  2  | 12 15  | 17 16  |  4  5  |  6 14  |  7 11  | 18 10  |
|  7  2  | 12  6  |  4 15  | 14  1  | 11 10  | 16 18  |  3  8  |  5 13  |  9 17  |
| 14  5  |  2  1  | 11  9  | 13  8  |  3 18  | 15 10  | 17  7  |  4  6  | 16 12  |
| 15 11  |  5 18  | 10 12  | 16 17  |  6 14  |  8  7  | 13  2  |  1  9  |  4  3  |
|  3  6  | 17  7  | 14 16  | 18  4  | 13  9  |  1 11  | 10 15  | 12  2  |  5  8  |
| 17 16  | 10 11  |  5  1  |  3  7  | 12  2  | 13  9  |  4 18  | 15  8  |  6 14  |
|  4 18  | 16  9  | 17  7  |  5  6  |  8  1  | 14  2  | 12 11  | 10  3  | 13 15  |
----------------------------------------------------------------------------------------------------
| 18 12  |  1  3  | 13 14  |  8  9  |  2 11  |  5  4  |  7 17  |  6 10  | 15 16  |
|  6 17  |  4  2  | 12  3  | 11 13  | 14  8  |  7 16  |  5 10  | 18 15  |  1  9  |
| 10  8  |  6 12  | 15 18  |  1  2  | 16 13  | 11 14  |  9  4  |  3  5  | 17  7  |
| 13  4  |  8 16  |  7 11  |  6  3  | 18 12  | 10 15  |  2  1  |  9 17  | 14  5  |
| 16  9  | 18 13  |  2  4  | 17  5  | 10 15  |  3  1  | 11 12  | 14  7  |  8  6  |
| 11  7  | 14 10  |  9  8  |  4 18  |  5  3  | 17  6  | 15 16  |  2  1  | 12 13  |
|  5 15  |  9 17  |  6 10  |  7 12  |  1  4  |  2 13  | 14  3  |  8 16  | 11 18  |
|  2 14  | 11 15  |  1  5  | 10 16  |  7 17  |  9  8  | 18  6  | 13 12  |  3  4  |
|  1  3  |  7  5  | 16 17  | 15 14  |  9  6  | 18 12  |  8 13  | 11  4  | 10  2  |
----------------------------------------------------------------------------------------------------
