----------------------------------------------------------------------------------------------------
|  7 18  |  6  8  |  1  9  | 12 15  | 14  2  | 10 16  | 11 17  |  3  4  |  5 13  |
| 11  2  |  1 16  | 10 13  |  3 18  |  9 17  | 15  5  |  4  7  |  6 14  |  8 12  |
| 13  9  | 11  5  | 16  8  |  2 14  | 15 18  |  6 17  | 10  1  |  7 12  |  4  3  |
| 10  3  |  2 13  |  7  6  |  9 16  |  8 11  | 18  4  | 14 12  |  1  5  | 15 17  |
|  1  6  |  3  9  | 14 15  |  7  5  | 16  4  | 12 11  | 18 13  | 17  8  | 10  2  |
| 14 12  |  7 18  |  4  5  | 13 17  |  6 10  |  8  2  | 16  3  | 11 15  |  1  9  |
| 15 17  | 10 12  | 11  3  |  6  4  |  5  7  | 14  1  |  2  8  | 13  9  | 18 16  |
|  5  4  | 15 17  | 18  2  | 11  8  | 12  1  | 13  3  |  6  9  | 16 10  | 14  7  |
|  8 16  | 14  4  | 12 17  |  1 10  | 13  3  |  9  7  | 15  5  | 18  2  | 11  6  |
----------------------------------------------------------------------------------------------------
| 18  5  | 12  2  |  9 10  | 17  3  | 11 15  |  7 14  |  8 16  |  4 13  |  6  1  |
|  6 15  |  5 14  |  8 18  |  4 11  |  7  9  | 17 13  |  1  2  | 12 16  |  3 10  |
|  3  8  | 18  7  |  5 14  | 15 13  | 10 16  |  1  6  |  9 11  |  2 17  | 12  4  |
|  9  7  | 16  6  | 13 12  | 14  2  | 18  5  | 11  8  |  3  4  | 10  1  | 17 15  |
|  4 14  |  8 15  |  2  7  | 18  1  |  3 12  | 16 10  | 17  6  |  9 11  | 13  5  |
| 12  1  | 17  3  | 15 11  | 10  7  |  4  6  |  2  9  | 13 14  |  5 18  | 16  8  |
| 16 13  |  9 10  |  3  1  |  5 12  | 17 14  |  4 15  |  7 18  |  8  6  |  2 11  |
|  2 10  | 13 11  | 17  4  | 16  6  |  1  8  |  3 12  |  5 15  | 14  7  |  9 18  |
| 17 11  |  4  1  |  6 16  |  8  9  |  2 13  |  5 18  | 12 10  | 15  3  |  7 14  |
----------------------------------------------------------------------------------------------------
