----------------------------------------------------------------------------------------------------
|  8 10  | 18  4  | 16  9  | 14  5  |  6 11  |  3  7  | 17 15  | 13 12  |  1  2  |
|  2  6  |  8 12  | 11  3  |  9 17  |  4 15  | 14 10  |  7  1  | 16  5  | 13 18  |
| 15 12  |  2 17  |  6 13  |  7  3  |  9 14  |  4  1  |  8 10  | 18 11  | 16  5  |
|  9 11  | 14 15  | 17 12  | 13  2  |  5  3  |  6  8  | 18 16  |  7  1  |  4 10  |
|  7  1  |  6 16  |  8  2  | 15  4  | 13 12  |  5 18  |  3 14  | 10 17  | 11  9  |
| 18  5  |  9 13  |  7  1  |  8 11  |  2 10  | 12 16  |  4  6  | 14  3  | 15 17  |
|  4 16  |  1 11  | 10 15  |  6 18  |  8  7  | 17 13  |  5 12  |  2  9  |  3 14  |
| 13 17  |  5  3  |  4 14  | 10  1  | 16 18  | 15  9  |  2 11  |  6  8  |  7 12  |
|  3 14  | 10  7  |  5 18  | 12 16  | 17  1  | 11  2  | 13  9  | 15  4  |  6  8  |
----------------------------------------------------------------------------------------------------
| 11  2  |  7  1  |  3  6  | 16  9  | 10 13  | 18 12  | 14 17  |  5 15  |  8  4  |
| 10 18  | 16  2  | 14  8  |  1 13  |  3  4  |  9 17  |  6  5  | 11  7  | 12 15  |
| 12  4  | 15 14  |  2 11  | 17 10  |  7 16  |  8  3  |  1 18  |  9 13  |  5  6  |
|  5 15  | 11  9  |  1  4  |  3  6  | 12 17  | 10 14  | 16  7  |  8 18  |  2 13  |
| 14 13  |  4 10  | 15 16  | 11 12  |  1  8  |  2  5  |  9  3  | 17  6  | 18  7  |
|  1  9  | 12  6  | 13  7  |  2  8  | 18  5  | 16 15  | 10  4  |  3 14  | 17 11  |
| 16  8  | 13  5  | 12 17  | 18 14  | 11  6  |  7  4  | 15  2  |  1 10  |  9  3  |
|  6  3  | 17  8  | 18 10  |  5  7  | 15  9  |  1 11  | 12 13  |  4  2  | 14 16  |
| 17  7  |  3 18  |  9  5  |  4 15  | 14  2  | 13  6  | 11  8  | 12 16  | 10  1  |
----------------------------------------------------------------------------------------------------
