----------------------------------------------------------------------------------------------------
| 11 12  | 13 10  |  1 16  |  3  7  |  8 18  |  2 14  |  6  9  |  5 15  |  4 17  |
| 15  9  | 12  3  |  2  4  | 14  1  | 10  5  | 18 16  |  7 17  | 13 11  |  6  8  |
|  5  6  | 18  2  | 12 13  |  8 16  |  1 11  | 10  4  |  3 14  |  7 17  | 15  9  |
|  4 18  |  6 11  | 14 17  | 12 13  |  2  9  |  8  1  |  5 15  |  3 16  |  7 10  |
| 17 16  | 14  5  |  6 10  |  2 18  |  3 12  | 15  7  | 11  8  |  4  9  | 13  1  |
| 13 10  | 15  4  | 11  5  |  6 17  | 16  7  | 12  9  | 18  1  |  8 14  |  2  3  |
|  1  3  |  8  7  | 15 18  | 11  9  | 14  4  | 13 17  | 16 10  |  2  6  |  5 12  |
|  2 14  |  1  9  |  7  8  | 10 15  | 17  6  |  5  3  |  4 13  | 18 12  | 16 11  |
|  8  7  | 17 16  |  3  9  |  5  4  | 15 13  | 11  6  |  2 12  | 10  1  | 14 18  |
----------------------------------------------------------------------------------------------------
|  7 13  |  2 15  |  9 11  | 18  5  |  6 10  | 16  8  | 17  4  | 12  3  |  1 14  |
| 10 15  | 16 13  | 17 14  |  1  3  | 18  8  |  6  5  |  9  7  | 11  4  | 12  2  |
| 18  1  | 10 14  |  8 15  |  9  2  |  7  3  |  4 12  | 13 16  | 17  5  | 11  6  |
| 16  8  |  7  6  |  4  2  | 17 10  |  5 15  | 14 11  | 12  3  |  1 18  |  9 13  |
| 12  4  |  3 18  | 10  6  | 15 14  | 13 16  | 17  2  |  1 11  |  9  7  |  8  5  |
|  3  2  |  4 17  | 16 12  | 13 11  |  9 14  |  1 18  | 15  5  |  6  8  | 10  7  |
|  6 11  |  9  8  |  5  1  | 16 12  |  4 17  |  7 13  | 10 18  | 14  2  |  3 15  |
| 14 17  |  5 12  | 13  3  |  7  6  | 11  1  |  9 15  |  8  2  | 16 10  | 18  4  |
|  9  5  | 11  1  | 18  7  |  4  8  | 12  2  |  3 10  | 14  6  | 15 13  | 17 16  |
----------------------------------------------------------------------------------------------------
