----------------------------------------------------------------------------------------------------
|  9  1  | 10  4  | 12  6  |  5  2  | 11  8  | 13 15  |  7 14  | 16 17  | 18  3  |
|  5  3  | 12  9  |  4  2  | 11 15  |  1 10  |  8  7  | 13 18  |  6 14  | 16 17  |
| 11  7  |  5 15  | 10  8  | 12  4  |  9  6  |  3 14  | 17 16  | 13 18  |  2  1  |
| 12 15  |  3  7  |  9  1  |  6 10  |  2 18  | 17 16  |  8  5  | 11  4  | 13 14  |
|  4  6  |  2 17  |  3  7  | 18 14  | 13 16  |  5 11  |  1 10  |  8  9  | 12 15  |
| 16  2  | 13  6  |  5 17  |  3  1  | 12 14  | 10 18  | 11  4  |  7 15  |  8  9  |
|  8 17  | 16  1  | 18 14  |  7 13  |  5  4  | 12  6  | 15  9  |  2  3  | 11 10  |
| 14 13  |  8 18  | 16 11  | 17  9  |  7 15  |  1  4  |  2  3  | 10 12  |  6  5  |
| 18 10  | 14 11  | 13 15  |  8 16  | 17  3  |  2  9  |  6 12  |  5  1  |  7  4  |
----------------------------------------------------------------------------------------------------
| 13 14  | 18 16  |  2  5  | 15  7  |  8 12  |  6  1  |  9 17  |  4 10  |  3 11  |
|  1 11  |  6 14  |  8 16  |  2 12  | 15  7  |  9  3  |  4 13  | 17  5  | 10 18  |
|  7 16  |  1  3  | 11 18  |  4  5  | 14  9  | 15 13  | 10  2  | 12  6  | 17  8  |
| 15 18  |  4 13  |  1  3  | 16  8  | 10  5  | 11 17  | 12  7  |  9  2  | 14  6  |
|  6  4  |  7  8  | 14  9  |  1 17  | 18  2  | 16 10  |  3 11  | 15 13  |  5 12  |
|  3 12  | 11  5  |  6 10  | 14 18  |  4 17  |  7  2  | 16 15  |  1  8  |  9 13  |
| 10  8  | 15 12  | 17  4  |  9 11  | 16 13  | 18  5  | 14  6  |  3  7  |  1  2  |
| 17  5  |  9  2  |  7 13  | 10  6  |  3  1  |  4 12  | 18  8  | 14 11  | 15 16  |
|  2  9  | 17 10  | 15 12  | 13  3  |  6 11  | 14  8  |  5  1  | 18 16  |  4  7  |
----------------------------------------------------------------------------------------------------
