----------------------------------------------------------------------------------------------------
| 11 17  | 13  3  | 14 15  | 16 12  |  4  6  |  8  9  | 10  1  |  7 18  |  5  2  |
| 14  8  | 18  9  |  4 16  | 17 13  | 15 10  | 11 12  |  7  3  |  2  5  |  6  1  |
|  9  2  | 14  1  |  5  7  |  3 10  | 16 13  | 17 15  |  4  6  |  8 12  | 18 11  |
|  5 12  |  4 16  |  9  8  |  6  2  |  3 17  | 10  1  | 11 18  | 15 13  |  7 14  |
|  6  3  |  5 17  | 13 11  |  4 15  |  1  8  |  7 18  | 12  2  | 10 14  | 16  9  |
| 16  4  | 11  6  | 17  3  |  8  7  | 12 18  | 13  2  | 14  5  |  1  9  | 10 15  |
| 10 13  | 12  2  |  6  1  |  9 18  | 11  7  |  5 14  |  8 15  |  3 16  |  4 17  |
|  1  7  |  8 15  | 18 10  | 11  5  |  2 14  |  3  6  | 16  9  |  4 17  | 12 13  |
| 18 15  |  7 10  | 12  2  |  1 14  |  9  5  |  4 16  | 17 13  | 11  6  |  8  3  |
----------------------------------------------------------------------------------------------------
|  3  1  | 10 12  | 15  4  | 18  6  |  7 16  | 14  8  | 13 11  |  9  2  | 17  5  |
| 12 16  |  1 13  | 10 17  | 15 11  | 14  2  | 18  3  |  5  4  |  6  7  |  9  8  |
| 15 14  |  2  8  |  1 12  | 13 17  |  6  4  |  9  5  |  3 16  | 18 10  | 11  7  |
| 13  9  | 16  7  | 11  5  | 12  3  | 17 15  |  1 10  | 18  8  | 14  4  |  2  6  |
| 17 10  | 15  5  | 16 13  |  2  8  | 18  1  |  6  7  |  9 14  | 12 11  |  3  4  |
|  2  5  | 17 18  |  7  6  | 10  9  |  8 11  | 15  4  |  1 12  | 13  3  | 14 16  |
|  4  6  |  3 14  |  2  9  |  7  1  | 10 12  | 16 11  | 15 17  |  5  8  | 13 18  |
|  8 18  |  6 11  |  3 14  |  5  4  | 13  9  | 12 17  |  2  7  | 16 15  |  1 10  |
|  7 11  |  9  4  |  8 18  | 14 16  |  5  3  |  2 13  |  6 10  | 17  1  | 15 12  |
----------------------------------------------------------------------------------------------------
