----------------------------------------------------------------------------------------------------
| 17  3  |  6  7  |  5 15  |  2  9  | 11 18  | 13  8  | 10 12  | 16  4  |  1 14  |
|  9  7  | 12  3  | 18 10  | 17  1  | 13  6  | 11 14  |  2 16  | 15  5  |  4  8  |
| 16 13  |  9 17  |  1 11  | 12  3  |  8  7  |  6 15  | 14  4  | 10  2  | 18  5  |
|  4 12  | 15 11  |  3  6  | 18 13  |  2 14  |  1  5  | 17  8  |  7  9  | 10 16  |
| 10 15  |  4 18  | 12  9  |  7  8  | 17  3  | 16  2  | 13  5  |  1 14  | 11  6  |
| 18  2  | 16 10  | 14  7  | 11 15  | 12  5  |  3  4  |  6  1  | 13  8  |  9 17  |
| 14  5  |  8 13  | 17  4  |  6 16  |  9  1  | 10 12  |  3  7  | 18 11  |  2 15  |
|  1  8  | 14  5  | 13  2  | 10  4  | 15 16  | 18  7  | 11  9  |  6 17  | 12  3  |
|  6 11  |  2  1  | 16  8  |  5 14  | 10  4  | 17  9  | 15 18  | 12  3  | 13  7  |
----------------------------------------------------------------------------------------------------
|  5 17  | 18 16  | 11  3  | 13  2  |  1  8  | 15  6  |  7 10  |  9 12  | 14  4  |
| 12 18  | 13  2  |  6 17  |  3  5  | 14 15  |  8  1  |  9 11  |  4  7  | 16 10  |
|  7 10  |  1 14  |  4 13  |  9 17  |  3 12  |  5 11  |  8 15  |  2 16  |  6 18  |
| 15 14  |  5  8  |  2 18  |  4 12  |  7 17  |  9 16  |  1  6  | 11 10  |  3 13  |
| 11  1  |  7  4  |  8  5  | 14  6  | 16  2  | 12 10  | 18 17  |  3 13  | 15  9  |
|  8  4  | 17  9  | 15 12  |  1 18  |  5 10  |  2  3  | 16 13  | 14  6  |  7 11  |
|  2  9  |  3 15  |  7  1  | 16 10  |  6 11  |  4 13  |  5 14  |  8 18  | 17 12  |
|  3 16  | 10  6  |  9 14  |  8 11  |  4 13  |  7 18  | 12  2  | 17 15  |  5  1  |
| 13  6  | 11 12  | 10 16  | 15  7  | 18  9  | 14 17  |  4  3  |  5  1  |  8  2  |
----------------------------------------------------------------------------------------------------
