----------------------------------------------------------------------------------------------------
| 10  6  |  1 13  |  3  5  |  7 14  |  2 18  |  9 16  | 17 11  |  8  4  | 15 12  |
| 16  3  | 15  6  |  1  8  |  2 10  | 14  7  |  4 12  |  9 18  | 17 13  |  5 11  |
|  7 14  | 12 17  |  6 16  |  3  8  | 10 13  |  2 11  |  4  1  |  5 15  |  9 18  |
| 12  5  |  3 14  |  4 10  |  6 17  |  1  8  |  7 18  | 13 15  |  9 11  | 16  2  |
| 15  4  | 18 16  | 12 14  |  1 13  | 11  9  | 17  8  |  7  5  | 10  2  |  3  6  |
|  9  8  |  7 10  | 13  2  | 15 11  |  4 17  |  5  3  | 16 12  | 18  6  | 14  1  |
| 13 18  |  9  5  |  7 11  | 12  4  | 15  3  |  1 10  |  2  6  | 14 16  | 17  8  |
|  2 11  |  4  8  | 15 17  |  9 18  | 16  5  | 13  6  |  3 14  |  1 12  |  7 10  |
| 17  1  | 11  2  | 18  9  | 16  5  |  6 12  | 14 15  | 10  8  |  3  7  | 13  4  |
----------------------------------------------------------------------------------------------------
|  8  7  |  5  4  | 17 12  | 10 16  | 13  1  | 15  2  | 14  3  | 11 18  |  6  9  |
| 14 10  |  6 15  |  2  7  | 17  3  | 18 16  |  8  1  |  5  4  | 12  9  | 11 13  |
| 18 16  |  2 11  |  5 15  | 14  9  |  8  4  | 10 13  |  1  7  |  6  3  | 12 17  |
|  3  9  | 14  1  | 16 13  |  5  2  | 12 10  |  6  4  | 11 17  | 15  8  | 18  7  |
|  5  2  | 13  7  | 10 18  |  4  6  |  3 14  | 11 17  | 12  9  | 16  1  |  8 15  |
|  1 17  | 16  9  | 14  6  |  8 12  |  5 11  | 18  7  | 15  2  | 13 10  |  4  3  |
| 11 12  | 10 18  |  9  4  | 13 15  |  7  6  |  3  5  |  8 16  |  2 17  |  1 14  |
|  6 13  | 17  3  |  8  1  | 11  7  |  9 15  | 12 14  | 18 10  |  4  5  |  2 16  |
|  4 15  |  8 12  | 11  3  | 18  1  | 17  2  | 16  9  |  6 13  |  7 14  | 10  5  |
----------------------------------------------------------------------------------------------------
