----------------------------------------------------------------------------------------------------
| 18 17  | 16 11  |  1  7  |  4  2  |  8 10  | 13  9  | 12 14  |  3  5  |  6 15  |
| 10  8  | 15  3  | 11  4  | 18 12  |  6 13  |  7 14  |  5 17  |  1  2  |  9 16  |
|  4  1  | 18  7  |  3 13  | 11 10  | 15  9  |  5  6  |  8  2  | 14 16  | 12 17  |
| 16 15  |  9  6  |  2 14  |  7 13  |  4 17  | 10 11  |  3 18  |  8 12  |  5  1  |
|  3 14  |  4 10  | 12 17  |  1  8  | 11  5  |  2 16  |  9 13  |  6 15  | 18  7  |
|  5  9  | 12 17  | 16 18  | 14  3  |  7  2  |  1  4  |  6 15  | 13 11  |  8 10  |
| 11  6  |  5  1  | 15 10  | 17  9  |  3 14  |  8 12  |  4 16  |  7 18  | 13  2  |
|  7 12  |  2 13  |  8  9  |  5  6  |  1 16  | 15 18  | 11 10  |  4 17  | 14  3  |
| 13  2  |  8 14  |  5  6  | 15 16  | 12 18  |  3 17  |  1  7  | 10  9  |  4 11  |
----------------------------------------------------------------------------------------------------
|  9  4  | 17  5  |  7  8  | 10 14  | 18  3  | 12  1  | 15 11  | 16 13  |  2  6  |
| 15 16  | 13  2  | 14  3  |  6  4  | 10 12  | 18  8  | 17  1  |  9  7  | 11  5  |
| 17  7  |  3 15  |  9  5  | 12  1  | 16  6  |  4  2  | 18  8  | 11 14  | 10 13  |
|  1 13  | 14 18  | 17  2  |  9 11  |  5  4  |  6  3  | 16 12  | 15 10  |  7  8  |
|  2  3  |  7 12  | 13 11  | 16 15  |  9  1  | 14  5  | 10  6  | 18  8  | 17  4  |
| 14 18  |  1  8  |  4 12  |  2  7  | 17 11  | 16 10  | 13  3  |  5  6  | 15  9  |
|  8  5  |  6  9  | 10 16  | 13 17  | 14  7  | 11 15  |  2  4  | 12  1  |  3 18  |
|  6 11  | 10 16  | 18 15  |  3  5  | 13  8  | 17  7  | 14  9  |  2  4  |  1 12  |
| 12 10  | 11  4  |  6  1  |  8 18  |  2 15  |  9 13  |  7  5  | 17  3  | 16 14  |
----------------------------------------------------------------------------------------------------
