----------------------------------------------------------------------------------------------------
| 13  2  |  3 12  | 11 10  | 15  9  |  6 18  | 14 17  |  7 16  |  5  4  |  8  1  |
| 18  6  | 17  4  |  9 14  | 16 12  | 15 13  | 10  5  | 11  8  |  7  1  |  3  2  |
| 10  5  |  6 18  | 12  4  |  8  2  |  1  3  | 11 16  | 15  9  | 17 13  |  7 14  |
|  9 14  | 10  2  | 17  7  |  4 13  | 12 16  | 15 18  |  3  1  |  8 11  |  6  5  |
| 17 12  | 13  9  |  6  8  | 14 10  |  4 11  |  1  7  | 18  5  |  2  3  | 16 15  |
| 16  1  | 11 15  | 18 13  |  6 17  |  5  7  |  8  3  | 14  2  | 12  9  |  4 10  |
|  4 15  |  5  1  |  3  2  | 11  7  |  8 14  |  9 12  | 13  6  | 16 10  | 17 18  |
| 11  8  | 14  7  | 16  1  |  3  5  |  9  2  |  6  4  | 17 10  | 15 18  | 13 12  |
|  7  3  | 16  8  | 15  5  |  1 18  | 10 17  | 13  2  |  4 12  |  6 14  |  9 11  |
----------------------------------------------------------------------------------------------------
|  2  7  |  8 11  | 13  3  | 12  4  | 16  6  | 17 14  | 10 18  |  1 15  |  5  9  |
| 14 17  |  2 13  |  4 12  |  5  1  | 18  8  | 16 10  |  9 11  |  3  6  | 15  7  |
|  1 18  | 15  6  | 10 11  | 13 16  | 17 12  |  4  9  |  8  7  | 14  5  |  2  3  |
| 15 11  |  7 14  |  8  6  | 10  3  | 13  4  | 18  1  |  5 17  |  9  2  | 12 16  |
|  8 16  |  1 17  | 14 18  |  2  6  |  3  9  |  5 11  | 12 15  | 13  7  | 10  4  |
|  5  4  |  9  3  |  2 17  | 18 14  | 11 15  |  7  8  | 16 13  | 10 12  |  1  6  |
|  3 13  | 18  5  |  1 15  |  9  8  |  7 10  | 12  6  |  2  4  | 11 16  | 14 17  |
| 12 10  |  4 16  |  5  9  |  7 15  | 14  1  |  2 13  |  6  3  | 18 17  | 11  8  |
|  6  9  | 12 10  |  7 16  | 17 11  |  2  5  |  3 15  |  1 14  |  4  8  | 18 13  |
----------------------------------------------------------------------------------------------------
