----------------------------------------------------------------------------------------------------
| 15  7  |  2  3  | 16  5  | 12 11  |  8  9  | 14  6  | 18 13  |  1 17  | 10  4  |
| 14  4  | 11  5  | 15 18  |  2 16  | 17 13  |  8  9  |  6 12  | 10  7  |  1  3  |
|  3 17  | 13 10  |  2  8  | 18 14  |  6 16  | 11  4  |  9  1  | 15  5  | 12  7  |
| 10  8  | 14  4  |  6  1  | 15  5  | 11  7  | 12 17  |  2 16  |  9  3  | 18 13  |
|  9  5  | 15  1  |  3 13  |  7  6  | 14  2  | 18 16  | 11 10  | 12  4  |  8 17  |
|  2 11  | 17  8  | 10 14  |  4 13  |  5 12  |  1  7  |  3 15  | 16 18  |  9  6  |
|  1 13  |  7 18  | 17 12  |  9  8  |  4 15  |  3 10  | 14  5  |  6 11  | 16  2  |
| 18 12  |  6 16  |  7  9  |  1 17  | 10  3  | 13 15  |  8  4  | 14  2  | 11  5  |
|  6 16  | 12  9  |  4 11  | 10  3  | 18  1  |  5  2  | 17  7  | 13  8  | 14 15  |
----------------------------------------------------------------------------------------------------
| 16  9  |  3  2  | 14  6  | 11 12  | 13 17  | 15 18  |  7  8  |  4 10  |  5  1  |
|  5  3  | 18  6  | 12  2  |  8 15  |  9  4  | 10 11  |  1 14  |  7 13  | 17 16  |
| 13 10  |  4 14  | 11 17  |  6  7  | 15  8  | 16  3  | 12  9  |  5  1  |  2 18  |
|  4  6  |  9 15  | 18  3  | 16  2  |  1 14  | 17 13  |  5 11  |  8 12  |  7 10  |
|  7  1  | 16 13  |  8  4  | 14  9  |  2  5  |  6 12  | 10 17  | 18 15  |  3 11  |
| 12 14  |  5  7  |  9 16  | 17 10  |  3 11  |  4  1  | 15 18  |  2  6  | 13  8  |
|  8  2  | 10 17  |  1 15  | 13  4  | 12 18  |  7  5  | 16  3  | 11  9  |  6 14  |
| 11 15  |  1 12  |  5  7  |  3 18  | 16 10  |  2  8  | 13  6  | 17 14  |  4  9  |
| 17 18  |  8 11  | 13 10  |  5  1  |  7  6  |  9 14  |  4  2  |  3 16  | 15 12  |
----------------------------------------------------------------------------------------------------
