----------------------------------------------------------------------------------------------------
|  9  4  |  2 18  |  7 11  | 14  5  |  8 15  | 16  3  |  6 12  | 13 10  |  1 17  |
| 14 10  |  3  1  | 18  6  |  7 16  | 17  4  | 12  8  |  9 15  | 11  5  | 13  2  |
|  8  2  | 12 10  |  3 15  | 18 17  |  7 13  |  5  4  | 16  1  |  9 14  |  6 11  |
| 18 16  |  8  4  | 17 12  | 13  1  | 14  5  | 15  2  |  3 11  |  6  7  |  9 10  |
|  3  7  | 13 15  |  2 10  | 12  9  | 18  1  |  6 11  |  5 14  | 16 17  |  8  4  |
| 12 13  |  5  7  |  4  8  |  2 15  |  6 11  | 17  9  | 10 18  |  3  1  | 16 14  |
| 15  5  |  9 16  | 13 14  |  6 11  |  2 12  |  1 10  | 17  4  | 18  8  |  3  7  |
|  6 11  | 17 14  |  9  1  |  4 10  | 16  3  | 18 13  |  8  7  | 12  2  |  5 15  |
|  1 17  | 11  6  |  5 16  |  8  3  |  9 10  |  7 14  |  2 13  | 15  4  | 12 18  |
----------------------------------------------------------------------------------------------------
| 10  1  | 15 12  | 11 18  | 16  7  |  5 14  |  8  6  | 13  2  | 17  3  |  4  9  |
| 16 18  |  1 13  | 14 17  | 15  4  | 10  2  |  9  5  |  7  3  |  8  6  | 11 12  |
|  7 14  | 18  2  |  1  9  | 17  6  | 15 16  |  3 12  |  4  8  |  5 11  | 10 13  |
|  2 15  | 10  5  | 12  7  |  3 14  | 11  6  | 13 17  |  1  9  |  4 16  | 18  8  |
| 11 12  | 16  9  | 15  4  |  5 18  |  1  8  | 10  7  | 14  6  |  2 13  | 17  3  |
| 17  3  |  4 11  | 16  5  |  1  8  | 13  9  | 14 15  | 18 10  |  7 12  |  2  6  |
|  5  6  | 14 17  |  8 13  | 11  2  |  3  7  |  4 18  | 12 16  | 10  9  | 15  1  |
| 13  9  |  7  8  |  6  3  | 10 12  |  4 18  |  2 16  | 11 17  |  1 15  | 14  5  |
|  4  8  |  6  3  | 10  2  |  9 13  | 12 17  | 11  1  | 15  5  | 14 18  |  7 16  |
----------------------------------------------------------------------------------------------------
