----------------------------------------------------------------------------------------------------
|  1 14  | 17 12  | 11  8  |  2  5  | 16 10  |  7 18  |  3  6  |  9 15  | 13  4  |
|  7  9  |  8 15  |  6 18  |  4 10  | 13  5  | 14 17  |  1 11  | 12 16  |  2  3  |
| 15  2  | 18  7  |  3  5  | 11 16  |  9  6  |  4  1  | 17 13  |  8 14  | 10 12  |
|  3 10  |  9  5  |  7 13  |  8  6  |  2  1  | 11 16  |  4 12  | 17 18  | 15 14  |
|  8  5  |  4 10  | 15 12  |  9 13  |  3  7  |  6  2  | 16 14  |  1 11  | 17 18  |
| 12 13  | 14 16  | 17  9  |  7 15  |  8  4  |  5  3  | 18  2  |  6 10  |  1 11  |
| 17 18  |  3 13  | 10 14  | 12  1  | 15 11  |  8  9  |  7  5  |  2  4  | 16  6  |
| 11  6  |  2  1  | 16  4  | 18 14  | 12 17  | 13 15  |  8 10  |  7  3  |  9  5  |
| 16  4  |  6 11  |  1  2  |  3 17  | 14 18  | 12 10  | 15  9  |  5 13  |  7  8  |
----------------------------------------------------------------------------------------------------
|  4  3  |  7  9  | 14 10  | 17  8  |  5  2  | 18 12  |  6 15  | 16  1  | 11 13  |
| 14 12  | 11  2  | 18 15  |  5  4  |  7  8  | 17  6  | 13 16  | 10  9  |  3  1  |
|  9  7  |  5  6  | 12  3  | 14 18  |  1 16  | 10 13  |  2  4  | 11 17  |  8 15  |
|  2  8  | 10 18  | 13  7  |  1  9  |  4 14  |  3  5  | 11 17  | 15  6  | 12 16  |
|  5 15  |  1 14  |  8 11  | 13  7  | 17 12  | 16  4  | 10 18  |  3  2  |  6  9  |
| 13  1  | 12  4  |  5  6  | 16 11  | 10 15  |  2  8  |  9  3  | 18  7  | 14 17  |
| 10 11  | 15 17  |  4 16  |  6  2  | 18  3  |  9 14  | 12  1  | 13  8  |  5  7  |
|  6 16  | 13  3  |  2 17  | 15 12  | 11  9  |  1  7  | 14  8  |  4  5  | 18 10  |
| 18 17  | 16  8  |  9  1  | 10  3  |  6 13  | 15 11  |  5  7  | 14 12  |  4  2  |
----------------------------------------------------------------------------------------------------
