----------------------------------------------------------------------------------------------------
| 17  3  | 16 15  | 18 10  |  2  9  |  8  5  |  6  7  | 11  1  | 14 12  |  4 13  |
|  6  9  | 14 12  | 16  2  |  7  8  | 17  3  |  5 18  | 13 15  | 11  4  | 10  1  |
| 13  1  |  9  7  | 12  3  | 17 18  | 15  6  | 11  2  |  5  4  |  8 10  | 14 16  |
| 16  2  | 10 18  | 17  8  | 11 12  |  7  9  |  1  4  |  6 14  | 15 13  |  3  5  |
|  5 10  |  2  6  | 15 14  |  1 13  | 18  4  |  8 12  |  7 17  |  3 16  |  9 11  |
|  4 15  |  3  1  |  9 11  | 16 14  | 13 12  | 17 10  | 18  8  |  7  5  |  6  2  |
| 12 18  | 17  5  |  7 13  | 10  4  |  1 11  | 14  9  | 16  3  |  6  2  |  8 15  |
| 14  7  | 11  8  |  4  6  | 15  5  | 10 16  | 13  3  | 12  2  |  1  9  | 17 18  |
|  8 11  |  4 13  |  5  1  |  6  3  | 14  2  | 15 16  |  9 10  | 17 18  | 12  7  |
----------------------------------------------------------------------------------------------------
|  3 12  |  1 14  |  2 17  |  8  7  | 16 13  |  9 11  |  4  5  | 10 15  | 18  6  |
| 11  8  | 13 17  | 10  7  | 12  1  |  9 15  | 16 14  |  3 18  |  5  6  |  2  4  |
|  1  5  | 12 16  | 13 15  |  9  2  |  3  7  |  4 17  |  8  6  | 18 14  | 11 10  |
| 18  6  |  5  2  |  3 12  | 13 16  |  4  1  |  7  8  | 10 11  |  9 17  | 15 14  |
|  9  4  | 18 10  | 11 16  |  5 17  | 12 14  |  2  6  | 15  7  | 13  3  |  1  8  |
| 15 16  |  6 11  | 14 18  |  3 10  |  2 17  | 12  5  |  1 13  |  4  8  |  7  9  |
|  2 17  | 15  9  |  6  4  | 18 11  |  5  8  | 10  1  | 14 16  | 12  7  | 13  3  |
| 10 13  |  7  4  |  8  9  | 14  6  | 11 18  |  3 15  |  2 12  | 16  1  |  5 17  |
|  7 14  |  8  3  |  1  5  |  4 15  |  6 10  | 18 13  | 17  9  |  2 11  | 16 12  |
----------------------------------------------------------------------------------------------------
