----------------------------------------------------------------------------------------------------
| 18  2  | 13 12  |  5 10  | 11 17  | 14  6  | 15 16  |  8  1  |  3  9  |  7  4  |
| 13  3  | 14  9  |  8  1  | 10  7  | 11 15  |  4 18  | 12 17  |  6 16  |  2  5  |
|  1 16  | 18  4  | 17  7  | 15  8  |  5  2  | 13  3  | 10  6  | 12 11  | 14  9  |
|  5 14  |  1 16  | 13 18  |  9  6  | 10  8  | 12  7  | 11  2  | 15  4  |  3 17  |
|  7  8  | 11  3  | 16  4  |  1 14  | 18 13  |  6 10  |  5  9  | 17  2  | 12 15  |
| 17 15  |  8 10  | 14  3  | 12 18  |  1  9  |  2  5  | 16  4  |  7 13  |  6 11  |
| 11  4  | 17  6  | 12  2  |  5 13  |  7  3  |  8  9  | 18 15  | 10 14  | 16  1  |
| 12 10  | 15  5  |  6  9  |  4  2  | 16 17  | 14 11  |  7  3  | 18  1  | 13  8  |
|  6  9  |  2  7  | 11 15  |  3 16  |  4 12  | 17  1  | 14 13  |  8  5  | 10 18  |
----------------------------------------------------------------------------------------------------
|  9 17  | 10  2  |  1  6  | 18 12  |  3  4  |  7 14  | 13  5  | 11 15  |  8 16  |
| 15  5  |  7 17  |  9 16  |  6  3  | 13 18  | 11  8  |  2 12  |  1 10  |  4 14  |
| 14  1  |  3  8  | 18  5  | 13  9  |  6 11  | 16  4  | 15  7  |  2 12  | 17 10  |
| 16 13  |  5 18  |  7 17  | 14  4  |  8 10  |  3 12  |  1 11  |  9  6  | 15  2  |
|  8  6  | 16  1  |  4 14  | 17  5  | 15  7  | 18  2  |  9 10  | 13  3  | 11 12  |
|  3 11  |  6 15  |  2  8  | 16 10  | 12 14  |  9 13  |  4 18  |  5 17  |  1  7  |
|  2 12  |  9 14  |  3 11  |  8  1  | 17  5  | 10 15  |  6 16  |  4  7  | 18 13  |
| 10 18  |  4 13  | 15 12  |  7 11  |  2  1  |  5  6  | 17 14  | 16  8  |  9  3  |
|  4  7  | 12 11  | 10 13  |  2 15  |  9 16  |  1 17  |  3  8  | 14 18  |  5  6  |
----------------------------------------------------------------------------------------------------
