----------------------------------------------------------------------------------------------------
|  7  4  | 16  1  | 13  6  | 17  8  |  2 15  | 11  9  | 18 12  |  3  5  | 10 14  |
|  6 17  | 14  5  | 16 18  | 10  1  |  3  9  | 15  4  |  7 11  | 12  2  |  8 13  |
|  2  5  |  9 11  |  1 14  | 12 15  | 18  8  | 16 13  |  6 17  | 10  7  |  3  4  |
| 11 15  | 17  2  |  3  9  | 16  4  |  1  5  | 10 18  |  8 14  |  6 13  |  7 12  |
| 10 12  |  6 13  |  5 11  |  2 14  | 16  4  |  3  7  |  9 15  | 17  8  |  1 18  |
|  8  3  | 10 18  |  4 12  |  6 11  | 17  7  |  2  1  |  5 13  | 15 14  | 16  9  |
| 13  9  |  8  3  | 17 15  |  5  7  | 11 10  | 12 14  |  4  1  | 18 16  |  6  2  |
| 18 16  |  4  7  |  2  8  |  9 13  | 12 14  |  5  6  | 10  3  | 11  1  | 15 17  |
| 14  1  | 12 15  | 10  7  |  3 18  |  6 13  |  8 17  |  2 16  |  4  9  |  5 11  |
----------------------------------------------------------------------------------------------------
|  4 10  |  5 17  |  9 13  |  7  2  | 15 12  |  6 16  | 14  8  |  1 18  | 11  3  |
| 16 13  |  2  9  | 18  1  | 14 17  |  8  6  |  4 15  | 11 10  |  5  3  | 12  7  |
|  9  2  | 13  4  | 12 17  | 18 10  |  5  3  |  7  8  | 15  6  | 16 11  | 14  1  |
|  1 11  |  7 14  | 15  4  |  8 12  | 10 18  | 17  5  |  3  2  |  9  6  | 13 16  |
| 12 14  | 15 16  |  6  5  |  1  3  |  4 11  | 13  2  | 17 18  |  7 10  |  9  8  |
|  5  8  | 11 12  |  7 16  | 15  6  | 13 17  | 18  3  |  1  9  | 14  4  |  2 10  |
| 17 18  |  1  8  | 11  3  | 13  5  | 14 16  |  9 10  | 12  7  |  2 15  |  4  6  |
| 15  7  |  3  6  | 14 10  | 11 16  |  9  2  |  1 12  | 13  4  |  8 17  | 18  5  |
|  3  6  | 18 10  |  8  2  |  4  9  |  7  1  | 14 11  | 16  5  | 13 12  | 17 15  |
----------------------------------------------------------------------------------------------------
