----------------------------------------------------------------------------------------------------
| 12  4  |  6  3  | 17 11  |  8 15  |  7  9  | 18  5  | 13 16  |  1 10  | 14  2  |
| 16  5  | 11 14  |  6  4  |  3 10  | 12  2  |  7 17  |  9 15  | 13  8  |  1 18  |
|  2 15  |  5  7  | 14 18  | 12  1  |  3 17  | 13 16  |  6  8  | 11  4  | 10  9  |
| 11 18  | 16 12  | 13  2  |  4 17  |  1 15  |  9 14  |  5 10  |  6  3  |  8  7  |
|  7 17  | 13  1  | 16  3  | 11  9  | 10  4  | 12  8  | 18  2  |  5 14  |  6 15  |
|  6  3  | 15  2  |  1 12  | 16 13  | 11  8  | 10  4  | 14  7  |  9 18  |  5 17  |
|  1  8  | 17  4  |  9 10  |  2 18  | 14  5  | 15  6  | 12 11  |  7 16  | 13  3  |
|  9 13  | 18 10  |  7  8  | 14  5  | 16  6  | 11  2  |  3  1  | 15 17  |  4 12  |
| 10 14  |  8  9  |  5 15  |  7  6  | 18 13  |  1  3  | 17  4  | 12  2  | 16 11  |
----------------------------------------------------------------------------------------------------
| 17 12  | 14 18  |  4 13  | 15 11  |  2  3  |  5  9  |  8  6  | 16  1  |  7 10  |
|  8  7  |  9  6  | 18  5  | 10 12  | 15 11  | 16  1  |  4  3  | 17 13  |  2 14  |
| 14  6  |  4 15  | 11  7  |  1  2  |  5 10  |  8 18  | 16  9  |  3 12  | 17 13  |
|  4  9  |  7 17  |  2 16  | 13  3  |  8 18  |  6 15  |  1 14  | 10 11  | 12  5  |
| 18  2  | 12 13  | 15 17  |  9 14  |  4  1  |  3 10  |  7  5  |  8  6  | 11 16  |
|  5 16  |  3 11  |  8 14  | 18  4  |  6 12  | 17  7  | 10 13  |  2  9  | 15  1  |
|  3 11  | 10  8  | 12  1  |  5  7  | 17 16  |  4 13  |  2 18  | 14 15  |  9  6  |
| 15 10  |  1  5  |  3  9  |  6 16  | 13 14  |  2 12  | 11 17  |  4  7  | 18  8  |
| 13  1  |  2 16  | 10  6  | 17  8  |  9  7  | 14 11  | 15 12  | 18  5  |  3  4  |
----------------------------------------------------------------------------------------------------
