----------------------------------------------------------------------------------------------------
|  6 15  |  2  4  | 11 17  |  3 13  | 10  1  |  5  7  | 12 14  | 16  8  |  9 18  |
| 14 16  |  6  8  |  3  4  |  7 17  | 15 13  |  2 11  |  5 10  |  9 18  | 12  1  |
| 12  7  | 15  3  | 16 14  | 11  4  | 17  9  | 13  8  |  2 18  | 10  1  |  5  6  |
|  4  1  | 16 10  |  6 18  | 14 15  |  7 11  |  9 17  |  8 13  |  5 12  |  3  2  |
|  2  8  | 12  7  | 13  5  | 16  6  |  4  3  |  1 18  |  9 15  | 14 11  | 17 10  |
|  3  5  | 11 14  | 12  8  |  2  9  |  6 18  |  4 10  |  1  7  | 13 17  | 15 16  |
| 10 18  |  5 13  |  7  9  | 12  1  | 16 14  | 15  3  | 11 17  |  6  2  |  8  4  |
|  9 17  |  1 18  |  2 15  |  5 10  | 12  8  | 14  6  | 16  4  |  7  3  | 11 13  |
| 13 11  |  9 17  |  1 10  | 18  8  |  2  5  | 16 12  |  6  3  | 15  4  | 14  7  |
----------------------------------------------------------------------------------------------------
|  1 14  |  3 11  |  5 13  | 15 16  | 18 17  | 12  4  | 10  6  |  8  7  |  2  9  |
|  8  9  | 18  1  | 15 11  | 10 14  | 13  7  |  3  5  |  4 12  |  2 16  |  6 17  |
|  7  4  | 13 15  | 14  3  |  1 11  |  5  6  | 17  2  | 18  9  | 12 10  | 16  8  |
| 17  2  |  4 16  |  8  6  |  9  5  | 11 15  | 10 14  |  7  1  |  3 13  | 18 12  |
| 11  3  | 10  6  | 17 16  | 13 18  |  9 12  |  8  1  | 14  2  |  4  5  |  7 15  |
| 18  6  |  7  2  | 10  1  |  4 12  |  3 16  | 11  9  | 15  8  | 17 14  | 13  5  |
| 15 13  | 17 12  |  4  7  |  6  2  |  8 10  | 18 16  |  3  5  | 11  9  |  1 14  |
| 16 10  | 14  5  |  9 12  |  8  7  |  1  2  |  6 13  | 17 11  | 18 15  |  4  3  |
|  5 12  |  8  9  | 18  2  | 17  3  | 14  4  |  7 15  | 13 16  |  1  6  | 10 11  |
----------------------------------------------------------------------------------------------------
